decision_id,slot_id,action,tile_id,program,request_id,reason
D000026,N20260907-S025,observe,T00015,BRIGHT,,highest public current-snapshot estimate
D000027,N20260907-S026,observe,T00016,BACKUP,,highest public current-snapshot estimate
D000028,N20260907-S028,observe,T00005,DARK,,highest public current-snapshot estimate
D000029,N20260907-S029,observe,T00014,BACKUP,RQ0001,highest public current-snapshot estimate
D000030,N20260907-S030,observe,T00013,BRIGHT,RQ0001,highest public current-snapshot estimate
D000031,N20260907-S031,observe,T00003,DARK,,highest public current-snapshot estimate
D000032,N20260907-S032,observe,T00021,BRIGHT,,highest public current-snapshot estimate
D000033,N20260907-S033,wait,,,,no legal observable candidate can finish in its known window
D000034,N20260907-S034,observe,T00021,BRIGHT,,highest public current-snapshot estimate
D000035,N20260907-S035,observe,T00023,BRIGHT,,highest public current-snapshot estimate
D000036,N20260907-S035,observe,T00020,BRIGHT,,highest public current-snapshot estimate
D000037,N20260907-S036,observe,T00024,BRIGHT,,highest public current-snapshot estimate
D000038,N20260908-S001,observe,T00042,BRIGHT,,highest public current-snapshot estimate
D000039,N20260908-S002,observe,T00043,DARK,,highest public current-snapshot estimate
D000040,N20260908-S003,observe,T00047,DARK,,highest public current-snapshot estimate
D000041,N20260908-S004,observe,T00051,DARK,,highest public current-snapshot estimate
D000042,N20260908-S005,observe,T00056,DARK,,highest public current-snapshot estimate
D000043,N20260908-S007,wait,,,,no legal observable candidate can finish in its known window
D000044,N20260908-S008,wait,,,,no legal observable candidate can finish in its known window
D000045,N20260908-S009,wait,,,,no legal observable candidate can finish in its known window
D000046,N20260908-S010,wait,,,,no legal observable candidate can finish in its known window
D000047,N20260908-S011,wait,,,,no legal observable candidate can finish in its known window
D000048,N20260908-S012,wait,,,,no legal observable candidate can finish in its known window
D000049,N20260908-S013,wait,,,,no legal observable candidate can finish in its known window
D000050,N20260908-S014,wait,,,,no legal observable candidate can finish in its known window
D000051,N20260908-S015,wait,,,,no legal observable candidate can finish in its known window
D000052,N20260908-S016,wait,,,,no legal observable candidate can finish in its known window
D000053,N20260908-S017,wait,,,,no legal observable candidate can finish in its known window
D000054,N20260908-S018,wait,,,,no legal observable candidate can finish in its known window
D000055,N20260908-S019,wait,,,,no legal observable candidate can finish in its known window
D000056,N20260908-S020,wait,,,,no legal observable candidate can finish in its known window
D000057,N20260908-S021,wait,,,,no legal observable candidate can finish in its known window
D000058,N20260908-S022,wait,,,,no legal observable candidate can finish in its known window
D000059,N20260908-S023,wait,,,,no legal observable candidate can finish in its known window
D000060,N20260908-S024,wait,,,,no legal observable candidate can finish in its known window
D000061,N20260908-S025,wait,,,,no legal observable candidate can finish in its known window
D000062,N20260908-S026,wait,,,,no legal observable candidate can finish in its known window
D000063,N20260908-S027,wait,,,,no legal observable candidate can finish in its known window
D000064,N20260908-S028,wait,,,,no legal observable candidate can finish in its known window
D000065,N20260908-S029,wait,,,,no legal observable candidate can finish in its known window
D000066,N20260908-S030,wait,,,,no legal observable candidate can finish in its known window
D000067,N20260908-S031,wait,,,,no legal observable candidate can finish in its known window
D000068,N20260908-S032,wait,,,,no legal observable candidate can finish in its known window
D000069,N20260908-S033,wait,,,,no legal observable candidate can finish in its known window
D000070,N20260908-S034,wait,,,,no legal observable candidate can finish in its known window
D000071,N20260908-S035,observe,T00019,BRIGHT,,highest public current-snapshot estimate
D000072,N20260908-S036,wait,,,,no legal observable candidate can finish in its known window
D000073,N20260908-S037,wait,,,,no legal observable candidate can finish in its known window
D000074,N20260909-S001,observe,T00037,BRIGHT,,highest public current-snapshot estimate
D000075,N20260909-S001,observe,T00044,BRIGHT,,highest public current-snapshot estimate
D000076,N20260909-S002,wait,,,,no legal observable candidate can finish in its known window
D000077,N20260909-S003,wait,,,,no legal observable candidate can finish in its known window
D000078,N20260909-S004,wait,,,,no legal observable candidate can finish in its known window
D000079,N20260909-S005,wait,,,,no legal observable candidate can finish in its known window
D000080,N20260909-S006,wait,,,,no legal observable candidate can finish in its known window
D000081,N20260909-S007,wait,,,,no legal observable candidate can finish in its known window
D000082,N20260909-S008,wait,,,,no legal observable candidate can finish in its known window
D000083,N20260909-S009,wait,,,,no legal observable candidate can finish in its known window
D000084,N20260909-S010,wait,,,,no legal observable candidate can finish in its known window
D000085,N20260909-S011,wait,,,,no legal observable candidate can finish in its known window
D000086,N20260909-S012,wait,,,,no legal observable candidate can finish in its known window
D000087,N20260909-S013,wait,,,,no legal observable candidate can finish in its known window
D000088,N20260909-S014,wait,,,,no legal observable candidate can finish in its known window
D000089,N20260909-S015,wait,,,,no legal observable candidate can finish in its known window
D000090,N20260909-S016,wait,,,,no legal observable candidate can finish in its known window
D000091,N20260909-S017,wait,,,,no legal observable candidate can finish in its known window
D000092,N20260909-S018,wait,,,,no legal observable candidate can finish in its known window
D000093,N20260909-S019,wait,,,,no legal observable candidate can finish in its known window
D000094,N20260909-S020,wait,,,,no legal observable candidate can finish in its known window
D000095,N20260909-S021,wait,,,,no legal observable candidate can finish in its known window
D000096,N20260909-S022,wait,,,,no legal observable candidate can finish in its known window
D000097,N20260909-S023,wait,,,,no legal observable candidate can finish in its known window
D000098,N20260909-S024,wait,,,,no legal observable candidate can finish in its known window
D000099,N20260909-S025,wait,,,,no legal observable candidate can finish in its known window
D000100,N20260909-S026,wait,,,,no legal observable candidate can finish in its known window
D000101,N20260909-S027,wait,,,,no legal observable candidate can finish in its known window
D000102,N20260909-S028,wait,,,,no legal observable candidate can finish in its known window
D000103,N20260909-S029,wait,,,,no legal observable candidate can finish in its known window
D000104,N20260909-S030,wait,,,,no legal observable candidate can finish in its known window
D000105,N20260909-S031,wait,,,,no legal observable candidate can finish in its known window
D000106,N20260909-S032,wait,,,,no legal observable candidate can finish in its known window
D000107,N20260909-S033,wait,,,,no legal observable candidate can finish in its known window
D000108,N20260909-S034,wait,,,,no legal observable candidate can finish in its known window
D000109,N20260909-S035,wait,,,,no legal observable candidate can finish in its known window
D000110,N20260909-S036,wait,,,,no legal observable candidate can finish in its known window
D000111,N20260909-S037,wait,,,,no legal observable candidate can finish in its known window
D000112,N20260910-S001,observe,T00040,BRIGHT,,highest public current-snapshot estimate
D000113,N20260910-S002,wait,,,,no legal observable candidate can finish in its known window
D000114,N20260910-S003,wait,,,,no legal observable candidate can finish in its known window
D000115,N20260910-S004,wait,,,,no legal observable candidate can finish in its known window
D000116,N20260910-S005,wait,,,,no legal observable candidate can finish in its known window
D000117,N20260910-S006,wait,,,,no legal observable candidate can finish in its known window
D000118,N20260910-S007,wait,,,,no legal observable candidate can finish in its known window
D000119,N20260910-S008,wait,,,,no legal observable candidate can finish in its known window
D000120,N20260910-S009,wait,,,,no legal observable candidate can finish in its known window
D000121,N20260910-S010,wait,,,,no legal observable candidate can finish in its known window
D000122,N20260910-S011,wait,,,,no legal observable candidate can finish in its known window
D000123,N20260910-S012,wait,,,,no legal observable candidate can finish in its known window
D000124,N20260910-S013,wait,,,,no legal observable candidate can finish in its known window
D000125,N20260910-S014,wait,,,,no legal observable candidate can finish in its known window
D000126,N20260910-S015,wait,,,,no legal observable candidate can finish in its known window
D000127,N20260910-S016,wait,,,,no legal observable candidate can finish in its known window
D000128,N20260910-S017,wait,,,,no legal observable candidate can finish in its known window
D000129,N20260910-S018,wait,,,,no legal observable candidate can finish in its known window
D000130,N20260910-S019,wait,,,,no legal observable candidate can finish in its known window
D000131,N20260910-S020,wait,,,,no legal observable candidate can finish in its known window
D000132,N20260910-S021,wait,,,,no legal observable candidate can finish in its known window
D000133,N20260910-S022,wait,,,,no legal observable candidate can finish in its known window
D000134,N20260910-S023,wait,,,,no legal observable candidate can finish in its known window
D000135,N20260910-S024,wait,,,,no legal observable candidate can finish in its known window
D000136,N20260910-S025,wait,,,,no legal observable candidate can finish in its known window
D000137,N20260910-S026,wait,,,,no legal observable candidate can finish in its known window
D000138,N20260910-S027,wait,,,,no legal observable candidate can finish in its known window
D000139,N20260910-S028,wait,,,,no legal observable candidate can finish in its known window
D000140,N20260910-S029,wait,,,,no legal observable candidate can finish in its known window
D000141,N20260910-S030,wait,,,,no legal observable candidate can finish in its known window
D000142,N20260910-S031,wait,,,,no legal observable candidate can finish in its known window
D000143,N20260910-S032,wait,,,,no legal observable candidate can finish in its known window
D000144,N20260910-S033,wait,,,,no legal observable candidate can finish in its known window
D000145,N20260910-S034,wait,,,,no legal observable candidate can finish in its known window
D000146,N20260910-S035,wait,,,,no legal observable candidate can finish in its known window
D000147,N20260910-S036,wait,,,,no legal observable candidate can finish in its known window
D000148,N20260910-S037,wait,,,,no legal observable candidate can finish in its known window
D000149,N20260911-S001,wait,,,,no legal observable candidate can finish in its known window
D000150,N20260911-S002,wait,,,,no legal observable candidate can finish in its known window
D000151,N20260911-S003,wait,,,,no legal observable candidate can finish in its known window
D000152,N20260911-S004,wait,,,,no legal observable candidate can finish in its known window
D000153,N20260911-S005,wait,,,,no legal observable candidate can finish in its known window
D000154,N20260911-S006,wait,,,,no legal observable candidate can finish in its known window
D000155,N20260911-S007,wait,,,,no legal observable candidate can finish in its known window
D000156,N20260911-S008,wait,,,,no legal observable candidate can finish in its known window
D000157,N20260911-S009,wait,,,,no legal observable candidate can finish in its known window
D000158,N20260911-S010,wait,,,,no legal observable candidate can finish in its known window
D000159,N20260911-S011,wait,,,,no legal observable candidate can finish in its known window
D000160,N20260911-S012,wait,,,,no legal observable candidate can finish in its known window
D000161,N20260911-S013,wait,,,,no legal observable candidate can finish in its known window
D000162,N20260911-S014,wait,,,,no legal observable candidate can finish in its known window
D000163,N20260911-S015,wait,,,,no legal observable candidate can finish in its known window
D000164,N20260911-S016,wait,,,,no legal observable candidate can finish in its known window
D000165,N20260911-S017,wait,,,,no legal observable candidate can finish in its known window
D000166,N20260911-S018,wait,,,,no legal observable candidate can finish in its known window
D000167,N20260911-S019,wait,,,,no legal observable candidate can finish in its known window
D000168,N20260911-S020,wait,,,,no legal observable candidate can finish in its known window
D000169,N20260911-S021,wait,,,,no legal observable candidate can finish in its known window
D000170,N20260911-S022,wait,,,,no legal observable candidate can finish in its known window
D000171,N20260911-S023,wait,,,,no legal observable candidate can finish in its known window
D000172,N20260911-S024,wait,,,,no legal observable candidate can finish in its known window
D000173,N20260911-S025,wait,,,,no legal observable candidate can finish in its known window
D000174,N20260911-S026,wait,,,,no legal observable candidate can finish in its known window
D000175,N20260911-S027,wait,,,,no legal observable candidate can finish in its known window
D000176,N20260911-S028,wait,,,,no legal observable candidate can finish in its known window
D000177,N20260911-S029,wait,,,,no legal observable candidate can finish in its known window
D000178,N20260911-S030,wait,,,,no legal observable candidate can finish in its known window
D000179,N20260911-S031,wait,,,,no legal observable candidate can finish in its known window
D000180,N20260911-S032,wait,,,,no legal observable candidate can finish in its known window
D000181,N20260911-S033,wait,,,,no legal observable candidate can finish in its known window
D000182,N20260911-S034,wait,,,,no legal observable candidate can finish in its known window
D000183,N20260911-S035,wait,,,,no legal observable candidate can finish in its known window
D000184,N20260911-S036,wait,,,,no legal observable candidate can finish in its known window
D000185,N20260911-S037,wait,,,,no legal observable candidate can finish in its known window
D000186,N20260911-S038,wait,,,,no legal observable candidate can finish in its known window
D000187,N20260912-S001,observe,T00036,BRIGHT,,highest public current-snapshot estimate
D000188,N20260912-S002,wait,,,,no legal observable candidate can finish in its known window
D000189,N20260912-S003,wait,,,,no legal observable candidate can finish in its known window
D000190,N20260912-S004,wait,,,,no legal observable candidate can finish in its known window
D000191,N20260912-S005,wait,,,,no legal observable candidate can finish in its known window
D000192,N20260912-S006,wait,,,,no legal observable candidate can finish in its known window
D000193,N20260912-S007,wait,,,,no legal observable candidate can finish in its known window
D000194,N20260912-S008,wait,,,,no legal observable candidate can finish in its known window
D000195,N20260912-S009,wait,,,,no legal observable candidate can finish in its known window
D000196,N20260912-S010,wait,,,,no legal observable candidate can finish in its known window
D000197,N20260912-S011,wait,,,,no legal observable candidate can finish in its known window
D000198,N20260912-S012,wait,,,,no legal observable candidate can finish in its known window
D000199,N20260912-S013,wait,,,,no legal observable candidate can finish in its known window
D000200,N20260912-S014,wait,,,,no legal observable candidate can finish in its known window
D000201,N20260912-S015,wait,,,,no legal observable candidate can finish in its known window
D000202,N20260912-S016,wait,,,,no legal observable candidate can finish in its known window
D000203,N20260912-S017,wait,,,,no legal observable candidate can finish in its known window
D000204,N20260912-S018,wait,,,,no legal observable candidate can finish in its known window
D000205,N20260912-S019,wait,,,,no legal observable candidate can finish in its known window
D000206,N20260912-S020,wait,,,,no legal observable candidate can finish in its known window
D000207,N20260912-S021,wait,,,,no legal observable candidate can finish in its known window
D000208,N20260912-S022,wait,,,,no legal observable candidate can finish in its known window
D000209,N20260912-S023,wait,,,,no legal observable candidate can finish in its known window
D000210,N20260912-S024,wait,,,,no legal observable candidate can finish in its known window
D000211,N20260912-S025,wait,,,,no legal observable candidate can finish in its known window
D000212,N20260912-S026,wait,,,,no legal observable candidate can finish in its known window
D000213,N20260912-S027,wait,,,,no legal observable candidate can finish in its known window
D000214,N20260912-S028,wait,,,,no legal observable candidate can finish in its known window
D000215,N20260912-S029,wait,,,,no legal observable candidate can finish in its known window
D000216,N20260912-S030,wait,,,,no legal observable candidate can finish in its known window
D000217,N20260912-S031,wait,,,,no legal observable candidate can finish in its known window
D000218,N20260912-S032,wait,,,,no legal observable candidate can finish in its known window
D000219,N20260912-S033,wait,,,,no legal observable candidate can finish in its known window
D000220,N20260912-S034,wait,,,,no legal observable candidate can finish in its known window
D000221,N20260912-S035,wait,,,,no legal observable candidate can finish in its known window
D000222,N20260912-S036,wait,,,,no legal observable candidate can finish in its known window
D000223,N20260912-S037,wait,,,,no legal observable candidate can finish in its known window
D000224,N20260912-S038,wait,,,,no legal observable candidate can finish in its known window
D000225,N20260912-S039,wait,,,,no legal observable candidate can finish in its known window
D000226,N20260913-S001,wait,,,,no legal observable candidate can finish in its known window
D000227,N20260913-S002,wait,,,,no legal observable candidate can finish in its known window
D000228,N20260913-S003,wait,,,,no legal observable candidate can finish in its known window
D000229,N20260913-S004,wait,,,,no legal observable candidate can finish in its known window
D000230,N20260913-S005,wait,,,,no legal observable candidate can finish in its known window
D000231,N20260913-S006,wait,,,,no legal observable candidate can finish in its known window
D000232,N20260913-S007,wait,,,,no legal observable candidate can finish in its known window
D000233,N20260913-S008,wait,,,,no legal observable candidate can finish in its known window
D000234,N20260913-S009,wait,,,,no legal observable candidate can finish in its known window
D000235,N20260913-S010,wait,,,,no legal observable candidate can finish in its known window
D000236,N20260913-S011,wait,,,,no legal observable candidate can finish in its known window
D000237,N20260913-S012,wait,,,,no legal observable candidate can finish in its known window
D000238,N20260913-S013,wait,,,,no legal observable candidate can finish in its known window
D000239,N20260913-S014,wait,,,,no legal observable candidate can finish in its known window
D000240,N20260913-S015,wait,,,,no legal observable candidate can finish in its known window
D000241,N20260913-S016,wait,,,,no legal observable candidate can finish in its known window
D000242,N20260913-S017,wait,,,,no legal observable candidate can finish in its known window
D000243,N20260913-S018,wait,,,,no legal observable candidate can finish in its known window
D000244,N20260913-S019,wait,,,,no legal observable candidate can finish in its known window
D000245,N20260913-S020,wait,,,,no legal observable candidate can finish in its known window
D000246,N20260913-S021,wait,,,,no legal observable candidate can finish in its known window
D000247,N20260913-S022,wait,,,,no legal observable candidate can finish in its known window
D000248,N20260913-S023,wait,,,,no legal observable candidate can finish in its known window
D000249,N20260913-S024,wait,,,,no legal observable candidate can finish in its known window
D000250,N20260913-S025,wait,,,,no legal observable candidate can finish in its known window
D000251,N20260913-S026,wait,,,,no legal observable candidate can finish in its known window
D000252,N20260913-S027,wait,,,,no legal observable candidate can finish in its known window
D000253,N20260913-S028,wait,,,,no legal observable candidate can finish in its known window
D000254,N20260913-S029,wait,,,,no legal observable candidate can finish in its known window
D000255,N20260913-S030,wait,,,,no legal observable candidate can finish in its known window
D000256,N20260913-S031,wait,,,,no legal observable candidate can finish in its known window
D000257,N20260913-S032,wait,,,,no legal observable candidate can finish in its known window
D000258,N20260913-S033,wait,,,,no legal observable candidate can finish in its known window
D000259,N20260913-S034,wait,,,,no legal observable candidate can finish in its known window
D000260,N20260913-S035,wait,,,,no legal observable candidate can finish in its known window
D000261,N20260913-S036,wait,,,,no legal observable candidate can finish in its known window
D000262,N20260913-S037,wait,,,,no legal observable candidate can finish in its known window
D000263,N20260913-S038,wait,,,,no legal observable candidate can finish in its known window
D000264,N20260913-S039,observe,T00030,BACKUP,,highest public current-snapshot estimate
D000265,N20260913-S039,wait,,,,no legal observable candidate can finish in its known window
D000266,N20260914-S001,observe,T00046,DARK,RQ0002,highest public current-snapshot estimate
D000267,N20260914-S001,wait,,,,no legal observable candidate can finish in its known window
D000268,N20260914-S002,wait,,,,no legal observable candidate can finish in its known window
D000269,N20260914-S003,wait,,,,no legal observable candidate can finish in its known window
D000270,N20260914-S004,wait,,,,no legal observable candidate can finish in its known window
D000271,N20260914-S005,wait,,,,no legal observable candidate can finish in its known window
D000272,N20260914-S006,wait,,,,no legal observable candidate can finish in its known window
D000273,N20260914-S007,wait,,,,no legal observable candidate can finish in its known window
D000274,N20260914-S008,wait,,,,no legal observable candidate can finish in its known window
D000275,N20260914-S009,wait,,,,no legal observable candidate can finish in its known window
D000276,N20260914-S010,wait,,,,no legal observable candidate can finish in its known window
D000277,N20260914-S011,wait,,,,no legal observable candidate can finish in its known window
D000278,N20260914-S012,wait,,,,no legal observable candidate can finish in its known window
D000279,N20260914-S013,wait,,,,no legal observable candidate can finish in its known window
D000280,N20260914-S014,wait,,,,no legal observable candidate can finish in its known window
D000281,N20260914-S015,wait,,,,no legal observable candidate can finish in its known window
D000282,N20260914-S016,wait,,,,no legal observable candidate can finish in its known window
D000283,N20260914-S017,wait,,,,no legal observable candidate can finish in its known window
D000284,N20260914-S018,wait,,,,no legal observable candidate can finish in its known window
D000285,N20260914-S019,wait,,,,no legal observable candidate can finish in its known window
D000286,N20260914-S020,wait,,,,no legal observable candidate can finish in its known window
D000287,N20260914-S021,wait,,,,no legal observable candidate can finish in its known window
D000288,N20260914-S022,wait,,,,no legal observable candidate can finish in its known window
D000289,N20260914-S023,wait,,,,no legal observable candidate can finish in its known window
D000290,N20260914-S024,wait,,,,no legal observable candidate can finish in its known window
D000291,N20260914-S025,wait,,,,no legal observable candidate can finish in its known window
D000292,N20260914-S026,wait,,,,no legal observable candidate can finish in its known window
D000293,N20260914-S027,wait,,,,no legal observable candidate can finish in its known window
D000294,N20260914-S028,wait,,,,no legal observable candidate can finish in its known window
D000295,N20260914-S029,wait,,,,no legal observable candidate can finish in its known window
D000296,N20260914-S030,wait,,,,no legal observable candidate can finish in its known window
D000297,N20260914-S031,wait,,,,no legal observable candidate can finish in its known window
D000298,N20260914-S032,wait,,,,no legal observable candidate can finish in its known window
D000299,N20260914-S033,wait,,,,no legal observable candidate can finish in its known window
D000300,N20260914-S034,wait,,,,no legal observable candidate can finish in its known window
D000301,N20260914-S035,wait,,,,no legal observable candidate can finish in its known window
D000302,N20260914-S036,wait,,,,no legal observable candidate can finish in its known window
D000303,N20260914-S037,wait,,,,no legal observable candidate can finish in its known window
D000304,N20260914-S038,wait,,,,no legal observable candidate can finish in its known window
D000305,N20260914-S039,observe,T00022,BRIGHT,,highest public current-snapshot estimate
D000306,N20260915-S001,wait,,,,no legal observable candidate can finish in its known window
D000307,N20260915-S002,wait,,,,no legal observable candidate can finish in its known window
D000308,N20260915-S003,wait,,,,no legal observable candidate can finish in its known window
D000309,N20260915-S004,wait,,,,no legal observable candidate can finish in its known window
D000310,N20260915-S005,wait,,,,no legal observable candidate can finish in its known window
D000311,N20260915-S006,wait,,,,no legal observable candidate can finish in its known window
D000312,N20260915-S007,wait,,,,no legal observable candidate can finish in its known window
D000313,N20260915-S008,wait,,,,no legal observable candidate can finish in its known window
D000314,N20260915-S009,wait,,,,no legal observable candidate can finish in its known window
D000315,N20260915-S010,wait,,,,no legal observable candidate can finish in its known window
D000316,N20260915-S011,wait,,,,no legal observable candidate can finish in its known window
D000317,N20260915-S012,wait,,,,no legal observable candidate can finish in its known window
D000318,N20260915-S013,wait,,,,no legal observable candidate can finish in its known window
D000319,N20260915-S014,wait,,,,no legal observable candidate can finish in its known window
D000320,N20260915-S015,wait,,,,no legal observable candidate can finish in its known window
D000321,N20260915-S016,wait,,,,no legal observable candidate can finish in its known window
D000322,N20260915-S017,wait,,,,no legal observable candidate can finish in its known window
D000323,N20260915-S018,wait,,,,no legal observable candidate can finish in its known window
D000324,N20260915-S019,wait,,,,no legal observable candidate can finish in its known window
D000325,N20260915-S020,wait,,,,no legal observable candidate can finish in its known window
D000326,N20260915-S021,wait,,,,no legal observable candidate can finish in its known window
D000327,N20260915-S022,wait,,,,no legal observable candidate can finish in its known window
D000328,N20260915-S023,wait,,,,no legal observable candidate can finish in its known window
D000329,N20260915-S024,wait,,,,no legal observable candidate can finish in its known window
D000330,N20260915-S025,wait,,,,no legal observable candidate can finish in its known window
D000331,N20260915-S026,wait,,,,no legal observable candidate can finish in its known window
D000332,N20260915-S027,wait,,,,no legal observable candidate can finish in its known window
D000333,N20260915-S028,wait,,,,no legal observable candidate can finish in its known window
D000334,N20260915-S029,wait,,,,no legal observable candidate can finish in its known window
D000335,N20260915-S030,wait,,,,no legal observable candidate can finish in its known window
D000336,N20260915-S031,wait,,,,no legal observable candidate can finish in its known window
D000337,N20260915-S032,wait,,,,no legal observable candidate can finish in its known window
D000338,N20260915-S033,wait,,,,no legal observable candidate can finish in its known window
D000339,N20260915-S034,wait,,,,no legal observable candidate can finish in its known window
D000340,N20260915-S035,wait,,,,no legal observable candidate can finish in its known window
D000341,N20260915-S036,wait,,,,no legal observable candidate can finish in its known window
D000342,N20260915-S037,wait,,,,no legal observable candidate can finish in its known window
D000343,N20260915-S038,wait,,,,no legal observable candidate can finish in its known window
D000344,N20260915-S039,wait,,,,no legal observable candidate can finish in its known window
D000345,N20260916-S001,wait,,,,no legal observable candidate can finish in its known window
D000346,N20260916-S002,wait,,,,no legal observable candidate can finish in its known window
D000347,N20260916-S003,wait,,,,no legal observable candidate can finish in its known window
D000348,N20260916-S004,wait,,,,no legal observable candidate can finish in its known window
D000349,N20260916-S005,wait,,,,no legal observable candidate can finish in its known window
D000350,N20260916-S006,wait,,,,no legal observable candidate can finish in its known window
D000351,N20260916-S007,wait,,,,no legal observable candidate can finish in its known window
D000352,N20260916-S008,wait,,,,no legal observable candidate can finish in its known window
D000353,N20260916-S009,wait,,,,no legal observable candidate can finish in its known window
D000354,N20260916-S010,wait,,,,no legal observable candidate can finish in its known window
D000355,N20260916-S011,wait,,,,no legal observable candidate can finish in its known window
D000356,N20260916-S012,wait,,,,no legal observable candidate can finish in its known window
D000357,N20260916-S013,wait,,,,no legal observable candidate can finish in its known window
D000358,N20260916-S014,wait,,,,no legal observable candidate can finish in its known window
D000359,N20260916-S015,wait,,,,no legal observable candidate can finish in its known window
D000360,N20260916-S016,wait,,,,no legal observable candidate can finish in its known window
D000361,N20260916-S017,wait,,,,no legal observable candidate can finish in its known window
D000362,N20260916-S018,wait,,,,no legal observable candidate can finish in its known window
D000363,N20260916-S019,wait,,,,no legal observable candidate can finish in its known window
D000364,N20260916-S020,wait,,,,no legal observable candidate can finish in its known window
D000365,N20260916-S021,wait,,,,no legal observable candidate can finish in its known window
D000366,N20260916-S022,wait,,,,no legal observable candidate can finish in its known window
D000367,N20260916-S023,wait,,,,no legal observable candidate can finish in its known window
D000368,N20260916-S024,wait,,,,no legal observable candidate can finish in its known window
D000369,N20260916-S025,wait,,,,no legal observable candidate can finish in its known window
D000370,N20260916-S026,wait,,,,no legal observable candidate can finish in its known window
D000371,N20260916-S027,wait,,,,no legal observable candidate can finish in its known window
D000372,N20260916-S028,wait,,,,no legal observable candidate can finish in its known window
D000373,N20260916-S029,wait,,,,no legal observable candidate can finish in its known window
D000374,N20260916-S030,wait,,,,no legal observable candidate can finish in its known window
D000375,N20260916-S031,wait,,,,no legal observable candidate can finish in its known window
D000376,N20260916-S032,wait,,,,no legal observable candidate can finish in its known window
D000377,N20260916-S033,wait,,,,no legal observable candidate can finish in its known window
D000378,N20260916-S034,wait,,,,no legal observable candidate can finish in its known window
D000379,N20260916-S035,wait,,,,no legal observable candidate can finish in its known window
D000380,N20260916-S036,wait,,,,no legal observable candidate can finish in its known window
D000381,N20260916-S037,wait,,,,no legal observable candidate can finish in its known window
D000382,N20260916-S038,wait,,,,no legal observable candidate can finish in its known window
D000383,N20260916-S039,wait,,,,no legal observable candidate can finish in its known window
D000384,N20260917-S001,wait,,,,no legal observable candidate can finish in its known window
D000385,N20260917-S002,wait,,,,no legal observable candidate can finish in its known window
D000386,N20260917-S003,wait,,,,no legal observable candidate can finish in its known window
D000387,N20260917-S004,wait,,,,no legal observable candidate can finish in its known window
D000388,N20260917-S005,wait,,,,no legal observable candidate can finish in its known window
D000389,N20260917-S006,wait,,,,no legal observable candidate can finish in its known window
D000390,N20260917-S007,wait,,,,no legal observable candidate can finish in its known window
D000391,N20260917-S008,wait,,,,no legal observable candidate can finish in its known window
D000392,N20260917-S009,wait,,,,no legal observable candidate can finish in its known window
D000393,N20260917-S010,wait,,,,no legal observable candidate can finish in its known window
D000394,N20260917-S011,wait,,,,no legal observable candidate can finish in its known window
D000395,N20260917-S012,wait,,,,no legal observable candidate can finish in its known window
D000396,N20260917-S013,wait,,,,no legal observable candidate can finish in its known window
D000397,N20260917-S014,wait,,,,no legal observable candidate can finish in its known window
D000398,N20260917-S015,wait,,,,no legal observable candidate can finish in its known window
D000399,N20260917-S016,wait,,,,no legal observable candidate can finish in its known window
D000400,N20260917-S017,wait,,,,no legal observable candidate can finish in its known window
D000401,N20260917-S018,wait,,,,no legal observable candidate can finish in its known window
D000402,N20260917-S019,wait,,,,no legal observable candidate can finish in its known window
