event_id,condition,actual_start_utc,actual_end_utc,spatial_scope_type,spatial_scope_payload,severity,force_close,seeing_multiplier,transparency_multiplier,sky_quality_multiplier,instrument_efficiency_multiplier
EV0022,rocket_launch,2026-10-09T03:30:00Z,2026-10-09T05:00:00Z,SKY_CAP_ICRS,"{""dec_deg"":10.359844,""ra_deg"":353.817469,""radius_deg"":27.57955}",0.634297,true,1.000000,1.000000,1.000000,1.000000
EV0020,smoggy,2026-10-09T05:00:00Z,2026-10-09T19:15:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":236.312116,""azimuth_start_deg"":153.150963,""max_altitude_deg"":59.414011,""min_altitude_deg"":0.0}",0.946799,false,1.142020,0.697024,0.734896,1.000000
EV0009,cloudy,2026-10-09T05:45:00Z,2026-10-09T12:30:00Z,SKY_CAP_ICRS,"{""dec_deg"":9.208577,""ra_deg"":223.337592,""radius_deg"":38.346498}",0.763812,false,1.190953,0.656285,0.732666,1.000000
EV0026,cold_wave,2026-10-09T05:45:00Z,2026-10-09T19:30:00Z,ALL,{},0.586114,false,1.029306,0.976555,0.988278,0.812444
EV0030,instrument_fault,2026-10-09T06:30:00Z,2026-10-12T12:30:00Z,REGION_SET,"{""region_ids"":[""R01""]}",0.921647,false,1.000000,1.000000,1.000000,0.649228
EV0012,cloudy,2026-10-09T10:15:00Z,2026-10-09T15:15:00Z,SKY_CAP_ICRS,"{""dec_deg"":14.702473,""ra_deg"":160.03636,""radius_deg"":24.861923}",0.727299,false,1.181825,0.672715,0.745445,1.000000
EV0013,cloudy,2026-10-10T02:15:00Z,2026-10-10T07:00:00Z,REGION_SET,"{""region_ids"":[""R02""]}",0.564122,false,1.141030,0.746145,0.802557,1.000000
EV0027,cold_wave,2026-10-10T04:30:00Z,2026-10-11T11:45:00Z,ALL,{},0.638255,false,1.031913,0.974470,0.987235,0.795758
EV0028,cold_wave,2026-10-10T04:45:00Z,2026-10-11T09:45:00Z,ALL,{},0.755602,false,1.037780,0.969776,0.984888,0.758207
EV0004,rainy,2026-10-10T05:45:00Z,2026-10-10T12:15:00Z,ALL,{},0.961408,true,1.769126,0.278944,0.375085,1.000000
EV0003,rainy,2026-10-10T07:45:00Z,2026-10-10T11:15:00Z,ALL,{},0.975309,true,1.780247,0.268519,0.366049,1.000000
EV0005,rainy,2026-10-10T08:45:00Z,2026-10-10T11:15:00Z,ALL,{},0.683230,true,1.546584,0.487577,0.555900,1.000000
EV0019,smoggy,2026-10-10T09:15:00Z,2026-10-10T19:00:00Z,REGION_SET,"{""region_ids"":[""R01"",""R05"",""R07""]}",0.718345,false,1.107752,0.770130,0.798863,1.000000
EV0029,tornado,2026-10-11T06:00:00Z,2026-10-11T07:00:00Z,ALL,{},0.742963,true,1.742963,0.368482,0.442778,0.851407
EV0014,cloudy,2026-10-11T12:15:00Z,2026-10-11T15:15:00Z,REGION_SET,"{""region_ids"":[""R00"",""R03"",""R04"",""R06""]}",0.834528,false,1.208632,0.624462,0.707915,1.000000
EV0024,rocket_launch,2026-10-12T02:30:00Z,2026-10-12T03:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":268.834164,""azimuth_start_deg"":176.429263,""max_altitude_deg"":68.371383,""min_altitude_deg"":0.0}",0.746888,true,1.000000,1.000000,1.000000,1.000000
EV0006,rainy,2026-10-12T12:15:00Z,2026-10-12T15:00:00Z,ALL,{},0.823886,true,1.659109,0.382085,0.464474,1.000000
EV0015,cloudy,2026-10-12T12:15:00Z,2026-10-12T16:45:00Z,SKY_CAP_ICRS,"{""dec_deg"":-9.07138,""ra_deg"":224.722713,""radius_deg"":14.962783}",0.850948,false,1.212737,0.617073,0.702168,1.000000
EV0016,cloudy,2026-10-12T12:15:00Z,2026-10-12T17:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":249.763898,""azimuth_start_deg"":169.354889,""max_altitude_deg"":47.711783,""min_altitude_deg"":0.0}",0.786496,false,1.196624,0.646077,0.724726,1.000000
EV0021,smoggy,2026-10-12T12:15:00Z,2026-10-13T04:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":191.065792,""azimuth_start_deg"":93.754549,""max_altitude_deg"":44.38356,""min_altitude_deg"":0.0}",0.770039,false,1.115506,0.753588,0.784389,1.000000
