forecast_id,event_id,revision,issued_at_utc,condition,predicted_start_utc,predicted_end_utc,spatial_scope_type,spatial_scope_payload,severity,probability,start_uncertainty_seconds,end_uncertainty_seconds
FC000036,FP0003,1,2026-10-07T02:00:00Z,rocket_launch,2026-10-10T09:30:00Z,2026-10-10T15:30:00Z,SKY_CAP_ICRS,"{""dec_deg"":50.272047,""ra_deg"":37.193586,""radius_deg"":13.376667}",0.555489,0.48747,7200,7200
FC000037,FP0005,1,2026-10-07T02:00:00Z,rainy,2026-10-11T10:15:00Z,2026-10-11T16:15:00Z,ALL,{},0.408014,0.303589,7200,7200
FC000038,EV0003,2,2026-10-08T02:00:00Z,rainy,2026-10-10T11:15:00Z,2026-10-10T14:30:00Z,ALL,{},0.965126,0.767433,9000,9000
FC000039,EV0004,2,2026-10-08T02:00:00Z,rainy,2026-10-10T01:45:00Z,2026-10-10T14:30:00Z,ALL,{},0.999173,0.775189,9000,9000
FC000040,EV0005,2,2026-10-08T02:00:00Z,rainy,2026-10-10T11:00:00Z,2026-10-10T11:15:00Z,ALL,{},0.675913,0.688425,9000,9000
FC000041,EV0009,3,2026-10-08T02:00:00Z,cloudy,2026-10-09T06:45:00Z,2026-10-09T12:00:00Z,SKY_CAP_ICRS,"{""dec_deg"":11.625259,""ra_deg"":219.539526,""radius_deg"":40.424872}",0.851731,0.782624,5400,5400
FC000042,EV0010,3,2026-10-08T02:00:00Z,cloudy,2026-10-08T09:45:00Z,2026-10-08T13:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":226.517194,""azimuth_start_deg"":147.687674,""max_altitude_deg"":54.084756,""min_altitude_deg"":0.0}",0.826094,0.909062,1800,1800
FC000043,EV0011,3,2026-10-08T02:00:00Z,cloudy,2026-10-08T09:45:00Z,2026-10-08T16:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":16.238825,""azimuth_start_deg"":314.474224,""max_altitude_deg"":59.15245,""min_altitude_deg"":0.0}",0.676576,0.929216,1800,1800
FC000044,EV0012,3,2026-10-08T02:00:00Z,cloudy,2026-10-09T12:00:00Z,2026-10-09T14:30:00Z,SKY_CAP_ICRS,"{""dec_deg"":11.289958,""ra_deg"":159.071449,""radius_deg"":24.312388}",0.698292,0.82311,5400,5400
FC000045,EV0013,2,2026-10-08T02:00:00Z,cloudy,2026-10-10T03:30:00Z,2026-10-10T07:15:00Z,REGION_SET,"{""region_ids"":[""R02""]}",0.415803,0.722845,8100,8100
FC000046,EV0014,1,2026-10-08T02:00:00Z,cloudy,2026-10-11T17:30:00Z,2026-10-11T17:45:00Z,REGION_SET,"{""region_ids"":[""R00"",""R03"",""R04"",""R06""]}",1,0.522985,13500,13500
FC000047,EV0019,2,2026-10-08T02:00:00Z,smoggy,2026-10-10T08:30:00Z,2026-10-10T21:45:00Z,REGION_SET,"{""region_ids"":[""R01"",""R03"",""R05"",""R07""]}",0.627724,0.734492,9000,9000
FC000048,EV0020,3,2026-10-08T02:00:00Z,smoggy,2026-10-09T05:30:00Z,2026-10-09T17:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":234.322296,""azimuth_start_deg"":152.698098,""max_altitude_deg"":59.414011,""min_altitude_deg"":0.0}",1,0.787989,5400,5400
FC000049,EV0022,3,2026-10-08T02:00:00Z,rocket_launch,2026-10-09T01:15:00Z,2026-10-09T07:30:00Z,SKY_CAP_ICRS,"{""dec_deg"":10.20755,""ra_deg"":355.976664,""radius_deg"":22.397057}",0.703881,0.822537,4500,4500
FC000050,EV0026,3,2026-10-08T02:00:00Z,cold_wave,2026-10-09T08:00:00Z,2026-10-09T20:15:00Z,ALL,{},0.585003,0.781882,5400,5400
FC000051,EV0027,2,2026-10-08T02:00:00Z,cold_wave,2026-10-10T05:30:00Z,2026-10-11T12:00:00Z,ALL,{},0.728663,0.697755,8100,8100
FC000052,EV0028,2,2026-10-08T02:00:00Z,cold_wave,2026-10-10T03:15:00Z,2026-10-11T15:45:00Z,ALL,{},0.669377,0.764169,8100,8100
FC000053,EV0029,1,2026-10-08T02:00:00Z,tornado,2026-10-11T10:15:00Z,2026-10-11T10:30:00Z,ALL,{},0.538282,0.59191,12600,12600
FC000054,FP0001,1,2026-10-08T02:00:00Z,cloudy,2026-10-11T02:45:00Z,2026-10-11T07:45:00Z,SKY_CAP_ICRS,"{""dec_deg"":44.193655,""ra_deg"":317.29781,""radius_deg"":27.900068}",0.58547,0.586044,7200,7200
FC000055,FP0002,1,2026-10-08T02:00:00Z,cold_wave,2026-10-10T07:45:00Z,2026-10-10T14:45:00Z,ALL,{},0.575486,0.672279,7200,7200
FC000056,FP0004,1,2026-10-08T02:00:00Z,tornado,2026-10-11T10:15:00Z,2026-10-11T18:15:00Z,ALL,{},0.337458,0.391266,7200,7200
FC000057,EV0003,3,2026-10-09T02:00:00Z,rainy,2026-10-10T07:00:00Z,2026-10-10T11:15:00Z,ALL,{},0.834296,0.837665,5400,5400
FC000058,EV0004,3,2026-10-09T02:00:00Z,rainy,2026-10-10T08:30:00Z,2026-10-10T11:45:00Z,ALL,{},1,0.830863,5400,5400
FC000059,EV0005,3,2026-10-09T02:00:00Z,rainy,2026-10-10T05:30:00Z,2026-10-10T10:45:00Z,ALL,{},0.597226,0.870784,5400,5400
FC000060,EV0009,4,2026-10-09T02:00:00Z,cloudy,2026-10-09T05:30:00Z,2026-10-09T12:00:00Z,SKY_CAP_ICRS,"{""dec_deg"":8.750164,""ra_deg"":222.487936,""radius_deg"":37.900055}",0.74615,0.956689,1800,1800
FC000061,EV0012,4,2026-10-09T02:00:00Z,cloudy,2026-10-09T11:00:00Z,2026-10-09T14:30:00Z,SKY_CAP_ICRS,"{""dec_deg"":13.974949,""ra_deg"":159.444783,""radius_deg"":23.958395}",0.72972,0.955162,1800,1800
FC000062,EV0013,3,2026-10-09T02:00:00Z,cloudy,2026-10-10T00:45:00Z,2026-10-10T08:45:00Z,REGION_SET,"{""region_ids"":[""R02""]}",0.491111,0.869632,4500,4500
FC000063,EV0014,2,2026-10-09T02:00:00Z,cloudy,2026-10-11T14:00:00Z,2026-10-11T17:45:00Z,REGION_SET,"{""region_ids"":[""R00"",""R03"",""R04"",""R06""]}",0.801146,0.676787,9900,9900
FC000064,EV0015,1,2026-10-09T02:00:00Z,cloudy,2026-10-12T12:00:00Z,2026-10-12T15:45:00Z,SKY_CAP_ICRS,"{""dec_deg"":-3.616998,""ra_deg"":221.881108,""radius_deg"":22.395785}",0.706287,0.614692,13500,13500
FC000065,EV0016,1,2026-10-09T02:00:00Z,cloudy,2026-10-12T10:45:00Z,2026-10-12T18:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":263.758787,""azimuth_start_deg"":174.514285,""max_altitude_deg"":47.711783,""min_altitude_deg"":0.0}",1,0.515341,13500,13500
FC000066,EV0019,3,2026-10-09T02:00:00Z,smoggy,2026-10-10T06:30:00Z,2026-10-10T17:30:00Z,REGION_SET,"{""region_ids"":[""R01"",""R05"",""R07""]}",0.806262,0.787959,5400,5400
FC000067,EV0020,4,2026-10-09T02:00:00Z,smoggy,2026-10-09T05:45:00Z,2026-10-09T19:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":235.874276,""azimuth_start_deg"":152.562918,""max_altitude_deg"":59.414011,""min_altitude_deg"":0.0}",0.95326,0.920897,1800,1800
FC000068,EV0021,1,2026-10-09T02:00:00Z,smoggy,2026-10-12T16:45:00Z,2026-10-13T03:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":191.577147,""azimuth_start_deg"":96.25944,""max_altitude_deg"":44.38356,""min_altitude_deg"":0.0}",0.733901,0.614161,13500,13500
FC000069,EV0022,4,2026-10-09T02:00:00Z,rocket_launch,2026-10-09T03:15:00Z,2026-10-09T05:00:00Z,SKY_CAP_ICRS,"{""dec_deg"":10.63639,""ra_deg"":353.94878,""radius_deg"":28.358986}",0.563339,0.963411,900,900
FC000070,EV0024,1,2026-10-09T02:00:00Z,rocket_launch,2026-10-11T23:45:00Z,2026-10-12T03:00:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":260.435592,""azimuth_start_deg"":154.737554,""max_altitude_deg"":68.371383,""min_altitude_deg"":0.0}",0.686391,0.603044,11700,11700
FC000071,EV0026,4,2026-10-09T02:00:00Z,cold_wave,2026-10-09T05:30:00Z,2026-10-09T20:30:00Z,ALL,{},0.566247,0.975984,1800,1800
FC000072,EV0027,3,2026-10-09T02:00:00Z,cold_wave,2026-10-10T05:30:00Z,2026-10-11T11:15:00Z,ALL,{},0.691071,0.791402,4500,4500
FC000073,EV0028,3,2026-10-09T02:00:00Z,cold_wave,2026-10-10T03:45:00Z,2026-10-11T07:45:00Z,ALL,{},0.670809,0.874002,4500,4500
FC000074,EV0029,2,2026-10-09T02:00:00Z,tornado,2026-10-11T05:15:00Z,2026-10-11T11:45:00Z,ALL,{},0.615095,0.668141,9000,9000
FC000075,EV0003,4,2026-10-10T02:00:00Z,rainy,2026-10-10T07:00:00Z,2026-10-10T11:45:00Z,ALL,{},0.966953,0.936526,1800,1800
FC000076,EV0004,4,2026-10-10T02:00:00Z,rainy,2026-10-10T05:00:00Z,2026-10-10T12:45:00Z,ALL,{},0.964598,0.985128,1800,1800
FC000077,EV0005,4,2026-10-10T02:00:00Z,rainy,2026-10-10T08:15:00Z,2026-10-10T11:30:00Z,ALL,{},0.690906,0.923774,1800,1800
FC000078,EV0013,4,2026-10-10T02:00:00Z,cloudy,2026-10-10T02:30:00Z,2026-10-10T07:00:00Z,REGION_SET,"{""region_ids"":[""R02""]}",0.544098,0.904748,900,900
FC000079,EV0014,3,2026-10-10T02:00:00Z,cloudy,2026-10-11T10:30:00Z,2026-10-11T15:15:00Z,REGION_SET,"{""region_ids"":[""R00"",""R03"",""R04"",""R06""]}",0.896819,0.745312,6300,6300
FC000080,EV0015,2,2026-10-10T02:00:00Z,cloudy,2026-10-12T11:15:00Z,2026-10-12T16:30:00Z,SKY_CAP_ICRS,"{""dec_deg"":-7.659515,""ra_deg"":213.938021,""radius_deg"":20.179552}",0.855971,0.646416,9900,9900
FC000081,EV0016,2,2026-10-10T02:00:00Z,cloudy,2026-10-12T14:45:00Z,2026-10-13T00:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":245.008723,""azimuth_start_deg"":151.794546,""max_altitude_deg"":47.711783,""min_altitude_deg"":0.0}",0.661389,0.584035,9900,9900
FC000082,EV0019,4,2026-10-10T02:00:00Z,smoggy,2026-10-10T10:00:00Z,2026-10-10T19:00:00Z,REGION_SET,"{""region_ids"":[""R01"",""R05"",""R07""]}",0.737978,0.907682,1800,1800
FC000083,EV0021,2,2026-10-10T02:00:00Z,smoggy,2026-10-12T11:45:00Z,2026-10-13T07:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":186.647842,""azimuth_start_deg"":80.768241,""max_altitude_deg"":44.38356,""min_altitude_deg"":0.0}",0.797781,0.662588,9900,9900
FC000084,EV0024,2,2026-10-10T02:00:00Z,rocket_launch,2026-10-12T02:30:00Z,2026-10-12T02:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":283.60815,""azimuth_start_deg"":182.014102,""max_altitude_deg"":68.371383,""min_altitude_deg"":0.0}",0.822019,0.798394,8100,8100
FC000085,EV0027,4,2026-10-10T02:00:00Z,cold_wave,2026-10-10T05:00:00Z,2026-10-11T12:30:00Z,ALL,{},0.694473,0.896452,900,900
FC000086,EV0028,4,2026-10-10T02:00:00Z,cold_wave,2026-10-10T04:30:00Z,2026-10-11T09:15:00Z,ALL,{},0.80608,0.951856,900,900
FC000087,EV0029,3,2026-10-10T02:00:00Z,tornado,2026-10-11T06:00:00Z,2026-10-11T06:45:00Z,ALL,{},0.674671,0.86447,5400,5400
FC000088,EV0014,4,2026-10-11T02:00:00Z,cloudy,2026-10-11T11:45:00Z,2026-10-11T14:45:00Z,REGION_SET,"{""region_ids"":[""R00"",""R03"",""R04"",""R06""]}",0.844455,0.934665,2700,2700
FC000089,EV0015,3,2026-10-11T02:00:00Z,cloudy,2026-10-12T12:15:00Z,2026-10-12T19:30:00Z,SKY_CAP_ICRS,"{""dec_deg"":-9.055262,""ra_deg"":232.089932,""radius_deg"":18.326509}",0.80006,0.781373,6300,6300
FC000090,EV0016,3,2026-10-11T02:00:00Z,cloudy,2026-10-12T10:15:00Z,2026-10-12T15:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":247.580107,""azimuth_start_deg"":173.796682,""max_altitude_deg"":47.711783,""min_altitude_deg"":0.0}",0.799811,0.736799,6300,6300
FC000091,EV0021,3,2026-10-11T02:00:00Z,smoggy,2026-10-12T10:45:00Z,2026-10-13T05:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":193.398564,""azimuth_start_deg"":96.996766,""max_altitude_deg"":44.38356,""min_altitude_deg"":0.0}",0.676496,0.766917,6300,6300
FC000092,EV0024,3,2026-10-11T02:00:00Z,rocket_launch,2026-10-12T03:15:00Z,2026-10-12T04:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":266.887985,""azimuth_start_deg"":174.696819,""max_altitude_deg"":68.371383,""min_altitude_deg"":0.0}",0.84755,0.850732,4500,4500
FC000093,EV0027,5,2026-10-11T02:00:00Z,cold_wave,2026-10-10T04:30:00Z,2026-10-11T11:45:00Z,ALL,{},0.576703,0.966548,900,900
FC000094,EV0028,5,2026-10-11T02:00:00Z,cold_wave,2026-10-10T05:00:00Z,2026-10-11T09:45:00Z,ALL,{},0.781552,0.933042,900,900
FC000095,EV0029,4,2026-10-11T02:00:00Z,tornado,2026-10-11T06:45:00Z,2026-10-11T07:30:00Z,ALL,{},0.716721,0.906174,1800,1800
FC000096,EV0015,4,2026-10-12T02:00:00Z,cloudy,2026-10-12T12:15:00Z,2026-10-12T17:00:00Z,SKY_CAP_ICRS,"{""dec_deg"":-8.962354,""ra_deg"":224.898926,""radius_deg"":15.692609}",0.91544,0.909243,2700,2700
FC000097,EV0016,4,2026-10-12T02:00:00Z,cloudy,2026-10-12T13:15:00Z,2026-10-12T17:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":248.759657,""azimuth_start_deg"":168.765816,""max_altitude_deg"":47.711783,""min_altitude_deg"":0.0}",0.820788,0.927381,2700,2700
FC000098,EV0021,4,2026-10-12T02:00:00Z,smoggy,2026-10-12T12:30:00Z,2026-10-13T03:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":191.452932,""azimuth_start_deg"":92.511243,""max_altitude_deg"":44.38356,""min_altitude_deg"":0.0}",0.733132,0.880724,2700,2700
FC000099,EV0024,4,2026-10-12T02:00:00Z,rocket_launch,2026-10-12T02:30:00Z,2026-10-12T03:15:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":268.170364,""azimuth_start_deg"":175.92607,""max_altitude_deg"":68.371383,""min_altitude_deg"":0.0}",0.800651,0.898997,900,900
