target_id,tile_id,target_class,feature_flux,redshift,science_weight
TG00000176,T00001,BGS,1.03270541,0.276621,0.4500
TG00000177,T00001,BGS,1.01594259,0.185918,0.4500
TG00000178,T00001,BGS,1.17355293,0.103104,0.4500
TG00000179,T00001,BGS,2.01967247,0.290891,0.4500
TG00000180,T00001,BGS,0.76721525,0.240572,0.4500
TG00000181,T00001,BGS,1.22607091,0.200910,0.4500
TG00000182,T00001,BGS,1.36441649,0.274344,0.4500
TG00000183,T00001,BGS,1.05256811,0.124805,0.4500
TG00000184,T00001,BGS,2.36151553,0.238154,0.4500
TG00000185,T00001,BGS,1.34372713,0.239587,0.4500
TG00000186,T00001,BGS,0.97932847,0.199856,0.4500
TG00000187,T00001,BGS,1.29248338,0.340080,0.4500
TG00000188,T00001,BGS,0.82349091,0.293050,0.4500
TG00000189,T00001,BGS,2.41693125,0.223647,0.4500
TG00000190,T00001,BGS,1.25873739,0.183411,0.4500
TG00000191,T00001,BGS,1.20365035,0.293811,0.4500
TG00000192,T00001,BGS,1.36445870,0.127523,0.4500
TG00000193,T00001,BGS,1.16064072,0.162165,0.4500
TG00000194,T00001,BGS,1.25705641,0.187599,0.4500
TG00000195,T00001,BGS,1.06470403,0.293973,0.4500
TG00000196,T00001,BGS,0.71929657,0.189521,0.4500
TG00000197,T00001,BGS,1.81884663,0.213425,0.4500
TG00000198,T00001,BGS,1.42349619,0.200192,0.4500
TG00000199,T00001,BGS,1.04393875,0.328620,0.4500
TG00000200,T00001,BGS,1.28505637,0.238970,0.4500
TG00000201,T00001,BGS,0.90160622,0.050312,0.4500
TG00000202,T00001,BGS,2.21638595,0.239235,0.4500
TG00000203,T00001,BGS,1.18867852,0.145602,0.4500
TG00000204,T00001,BGS,1.63536286,0.089690,0.4500
TG00000205,T00001,BGS,1.39531636,0.157621,0.4500
TG00000206,T00001,BGS,1.12650924,0.098988,0.4500
TG00000207,T00001,BGS,1.44378537,0.035834,0.4500
TG00000208,T00001,BGS,1.43949117,0.156155,0.4500
TG00000209,T00001,BGS,1.35625533,0.113959,0.4500
TG00000210,T00001,BGS,1.63347301,0.054359,0.4500
TG00000211,T00001,BGS,1.33086689,0.239754,0.4500
TG00000212,T00001,BGS,1.57148323,0.328249,0.4500
TG00000213,T00001,BGS,2.25601287,0.367409,0.4500
TG00000214,T00001,BGS,1.01524033,0.358788,0.4500
TG00000215,T00001,BGS,1.37647690,0.288588,0.4500
TG00000216,T00001,BGS,1.04835442,0.302427,0.4500
TG00000217,T00001,BGS,1.55001416,0.360162,0.4500
TG00000218,T00001,BGS,1.09565565,0.154648,0.4500
TG00000219,T00001,BGS,1.82594762,0.363525,0.4500
TG00000220,T00001,BGS,1.05740288,0.279454,0.4500
TG00000221,T00001,BGS,1.61055379,0.248441,0.4500
TG00000222,T00001,BGS,0.96193451,0.120707,0.4500
TG00000223,T00001,BGS,0.93441631,0.243742,0.4500
TG00000224,T00001,BGS,0.93434612,0.355412,0.4500
TG00000225,T00001,BGS,1.09656953,0.213496,0.4500
TG00000226,T00001,BGS,1.08737499,0.214721,0.4500
TG00000227,T00001,BGS,1.32845677,0.314475,0.4500
TG00000228,T00001,BGS,1.33100891,0.150241,0.4500
TG00000229,T00001,BGS,2.06705956,0.263474,0.4500
TG00000230,T00001,BGS,1.25194661,0.279580,0.4500
TG00000231,T00001,BGS,0.62557427,0.276790,0.4500
TG00000232,T00001,BGS,1.27282175,0.116690,0.4500
TG00000233,T00001,BGS,2.08786470,0.366996,0.4500
TG00000234,T00001,BGS,1.16365217,0.228098,0.4500
TG00000235,T00001,BGS,1.11408061,0.258601,0.4500
TG00000236,T00001,BGS,1.31032279,0.278309,0.4500
TG00000237,T00001,BGS,1.85807233,0.221211,0.4500
TG00000238,T00001,BGS,0.88042912,0.154402,0.4500
TG00000239,T00001,BGS,1.35416028,0.284479,0.4500
TG00000240,T00001,BGS,1.03081887,0.199786,0.4500
TG00000241,T00001,BGS,1.48529256,0.325448,0.4500
TG00000242,T00001,BGS,1.22050918,0.271712,0.4500
TG00000243,T00001,BGS,0.95238422,0.324004,0.4500
TG00000244,T00002,LRG,0.17833123,0.583455,1.0000
TG00000245,T00002,LRG,0.14919924,0.574062,1.0000
TG00000246,T00002,LRG,0.37254626,0.681290,1.0000
TG00000247,T00002,LRG,0.52214508,0.840550,1.0000
TG00000248,T00002,LRG,0.31860394,0.656127,1.0000
TG00000249,T00002,LRG,0.71550097,0.284481,1.0000
TG00000250,T00002,LRG,0.32407872,0.616551,1.0000
TG00000251,T00002,LRG,0.22208654,0.645526,1.0000
TG00000252,T00002,LRG,0.38970338,0.547321,1.0000
TG00000253,T00002,LRG,0.77248603,0.934640,1.0000
TG00000254,T00002,LRG,0.51505336,0.600130,1.0000
TG00000255,T00002,LRG,0.24747112,1.039809,1.0000
TG00000256,T00002,LRG,0.41628784,0.591214,1.0000
TG00000257,T00002,LRG,0.25212659,0.727505,1.0000
TG00000258,T00002,LRG,0.22610125,0.501528,1.0000
TG00000259,T00002,LRG,0.30648034,0.691764,1.0000
TG00000260,T00002,LRG,0.34828669,0.756030,1.0000
TG00000261,T00002,LRG,0.39397280,0.728586,1.0000
TG00000262,T00002,LRG,0.26602627,0.512770,1.0000
TG00000263,T00002,LRG,0.53441500,1.051559,1.0000
TG00000264,T00002,LRG,0.23517698,0.770472,1.0000
TG00000265,T00002,LRG,0.45858338,0.737667,1.0000
TG00000266,T00002,LRG,0.50925748,0.438744,1.0000
TG00000267,T00002,LRG,0.29053086,0.667110,1.0000
TG00000268,T00002,LRG,0.42366379,0.922100,1.0000
TG00000269,T00002,LRG,0.26652334,0.833495,1.0000
TG00000270,T00002,LRG,0.19855432,0.799934,1.0000
TG00000271,T00002,LRG,0.47984248,0.668877,1.0000
TG00000272,T00002,LRG,0.15678861,0.544989,1.0000
TG00000273,T00002,LRG,0.38363622,1.063219,1.0000
TG00000274,T00002,LRG,0.93538351,0.779998,1.0000
TG00000275,T00002,LRG,0.55359118,0.578307,1.0000
TG00000276,T00002,LRG,0.28362682,0.574902,1.0000
TG00000277,T00002,LRG,0.19192580,0.592321,1.0000
TG00000278,T00002,LRG,0.18536598,0.492826,1.0000
TG00000279,T00002,LRG,0.40371640,0.754432,1.0000
TG00000280,T00002,LRG,0.33402108,0.423332,1.0000
TG00000281,T00002,LRG,0.49698710,0.488015,1.0000
TG00000282,T00002,LRG,0.36405758,0.705438,1.0000
TG00000283,T00002,LRG,0.34121221,0.573769,1.0000
TG00000284,T00002,LRG,0.63624532,0.702721,1.0000
TG00000285,T00002,LRG,0.52826316,0.479358,1.0000
TG00000286,T00002,LRG,0.35306403,0.402461,1.0000
TG00000287,T00002,LRG,0.47131643,0.671327,1.0000
TG00000288,T00002,LRG,0.23553884,0.664685,1.0000
TG00000289,T00002,LRG,0.45152138,0.662121,1.0000
TG00000290,T00002,LRG,0.56808161,0.520108,1.0000
TG00000291,T00002,LRG,0.29205101,1.068891,1.0000
TG00000292,T00002,LRG,0.42071139,0.557226,1.0000
TG00000293,T00002,LRG,0.25994928,0.736595,1.0000
TG00000294,T00002,LRG,0.57459172,0.815902,1.0000
TG00000295,T00002,LRG,0.33481837,1.062941,1.0000
TG00000296,T00002,LRG,0.40917759,0.655855,1.0000
TG00000297,T00002,LRG,0.48965370,1.015254,1.0000
TG00000298,T00002,LRG,0.49292500,0.621944,1.0000
TG00000299,T00002,LRG,0.16012241,0.850293,1.0000
TG00000300,T00002,LRG,0.28496734,0.684045,1.0000
TG00000301,T00002,LRG,0.45109977,0.722096,1.0000
TG00000302,T00002,LRG,0.23795614,0.508578,1.0000
TG00000303,T00002,LRG,0.41698514,0.714643,1.0000
TG00000304,T00002,LRG,0.30714962,0.784334,1.0000
TG00000305,T00002,LRG,0.40248245,0.579572,1.0000
TG00000306,T00002,LRG,0.50875824,0.560665,1.0000
TG00000307,T00002,LRG,0.39833903,0.634998,1.0000
TG00000308,T00002,LRG,0.22734249,0.736182,1.0000
TG00000309,T00002,LRG,0.20536687,0.878030,1.0000
TG00000310,T00002,LRG,0.48857174,0.834376,1.0000
TG00000311,T00002,LRG,0.35465273,0.576903,1.0000
TG00000312,T00002,LRG,0.74040197,0.548091,1.0000
TG00000313,T00002,ELG,0.52731942,1.176969,1.0000
TG00000314,T00002,ELG,0.33320496,1.124774,1.0000
TG00000315,T00002,ELG,0.57992312,0.964388,1.0000
TG00000316,T00002,ELG,0.59280097,0.745565,1.0000
TG00000317,T00002,ELG,0.57844845,0.994952,1.0000
TG00000318,T00002,ELG,1.20574106,0.670502,1.0000
TG00000319,T00002,ELG,0.36487479,1.080336,1.0000
TG00000320,T00002,ELG,0.68771907,1.411639,1.0000
TG00000321,T00002,ELG,0.81533031,1.075300,1.0000
TG00000322,T00002,ELG,0.71498974,0.506643,1.0000
TG00000323,T00002,ELG,0.41298440,1.084289,1.0000
TG00000324,T00002,ELG,0.60442736,0.615819,1.0000
TG00000325,T00002,ELG,0.29692996,0.948599,1.0000
TG00000326,T00002,ELG,0.53787087,1.427535,1.0000
TG00000327,T00002,ELG,0.40632177,1.167516,1.0000
TG00000328,T00002,ELG,0.42083305,0.821173,1.0000
TG00000329,T00002,ELG,0.55505792,1.294155,1.0000
TG00000330,T00002,ELG,0.27591725,1.074584,1.0000
TG00000331,T00002,ELG,0.55693453,1.025188,1.0000
TG00000332,T00002,ELG,0.84835817,1.584139,1.0000
TG00000333,T00002,ELG,0.73183161,0.866802,1.0000
TG00000334,T00002,ELG,0.61219800,1.155654,1.0000
TG00000335,T00002,ELG,0.38161289,0.860583,1.0000
TG00000336,T00002,ELG,0.69681956,0.599725,1.0000
TG00000337,T00002,ELG,0.31290493,1.424877,1.0000
TG00000338,T00002,ELG,0.35534224,1.436444,1.0000
TG00000339,T00002,ELG,0.58438398,1.039695,1.0000
TG00000340,T00002,ELG,0.64993144,1.594466,1.0000
TG00000341,T00002,ELG,0.59928308,1.046198,1.0000
TG00000342,T00002,ELG,0.16929183,1.077750,1.0000
TG00000343,T00002,ELG,0.96911000,1.026847,1.0000
TG00000344,T00002,ELG,0.53728590,1.042882,1.0000
TG00000345,T00002,ELG,0.41771290,0.868048,1.0000
TG00000346,T00002,ELG,0.36582430,1.262939,1.0000
TG00000347,T00002,ELG,0.49400176,0.896269,1.0000
TG00000348,T00002,ELG,1.59932379,0.871247,1.0000
TG00000349,T00002,ELG,0.24902275,1.012355,1.0000
TG00000350,T00002,ELG,0.72154869,0.671925,1.0000
TG00000351,T00002,ELG,0.37052027,0.795422,1.0000
TG00000352,T00002,ELG,0.24027422,0.939097,1.0000
TG00000353,T00002,ELG,1.16014675,0.983584,1.0000
TG00000354,T00002,ELG,0.51311821,1.058938,1.0000
TG00000355,T00002,ELG,0.37872156,0.841944,1.0000
TG00000356,T00002,ELG,0.48025980,1.238760,1.0000
TG00000357,T00002,ELG,0.48515710,1.218357,1.0000
TG00000358,T00002,ELG,0.68560573,1.180511,1.0000
TG00000359,T00002,ELG,0.41812408,1.114319,1.0000
TG00000360,T00002,ELG,0.49393999,0.975102,1.0000
TG00000361,T00002,ELG,0.56728600,1.287865,1.0000
TG00000362,T00002,ELG,0.62253330,1.092991,1.0000
TG00000363,T00002,ELG,0.88148631,0.637266,1.0000
TG00000364,T00002,ELG,0.95911078,0.724832,1.0000
TG00000365,T00002,ELG,0.44267037,1.056626,1.0000
TG00000366,T00002,ELG,0.77353328,0.828268,1.0000
TG00000367,T00002,ELG,0.66906590,0.998269,1.0000
TG00000368,T00002,ELG,0.42341892,1.163811,1.0000
TG00000369,T00002,ELG,0.74013246,0.977100,1.0000
TG00000370,T00002,ELG,0.52211485,1.156641,1.0000
TG00000371,T00002,ELG,0.66145252,1.222260,1.0000
TG00000372,T00002,ELG,0.92203700,0.675817,1.0000
TG00000373,T00002,ELG,0.65689641,1.270965,1.0000
TG00000374,T00002,ELG,0.36779365,1.065370,1.0000
TG00000375,T00002,ELG,0.48381319,0.964727,1.0000
TG00000376,T00002,ELG,0.42475917,1.169444,1.0000
TG00000377,T00002,ELG,0.57417701,1.102919,1.0000
TG00000378,T00002,ELG,0.29311904,1.178407,1.0000
TG00000379,T00002,ELG,0.67120735,0.986628,1.0000
TG00000380,T00002,ELG,0.68176634,1.451907,1.0000
TG00000381,T00002,ELG,0.83740943,0.926555,1.0000
TG00000382,T00002,ELG,0.31644177,1.076717,1.0000
TG00000383,T00002,ELG,0.40716002,1.201558,1.0000
TG00000384,T00002,ELG,0.39261514,1.005250,1.0000
TG00000385,T00002,ELG,0.36713423,1.292158,1.0000
TG00000386,T00002,ELG,0.76480497,1.309760,1.0000
TG00000387,T00002,ELG,0.74764859,1.163043,1.0000
TG00000388,T00002,ELG,0.56048242,1.551769,1.0000
TG00000389,T00002,ELG,0.61771165,1.400205,1.0000
TG00000390,T00002,ELG,0.46794010,1.100723,1.0000
TG00000391,T00002,ELG,0.46643756,1.435647,1.0000
TG00000392,T00002,ELG,0.75486873,1.039564,1.0000
TG00000393,T00002,QSO,0.09551174,2.023952,1.7000
TG00000394,T00002,QSO,0.14751719,1.503489,1.7000
TG00000395,T00002,QSO,0.23372515,3.109020,1.7000
TG00000396,T00002,QSO,0.27065991,1.996620,1.7000
TG00000397,T00002,QSO,0.08512692,3.058316,1.7000
TG00000398,T00002,QSO,0.41221126,1.707810,1.7000
TG00000399,T00002,QSO,0.14046701,2.990130,1.7000
TG00000400,T00002,QSO,0.13684747,1.811601,1.7000
TG00000401,T00002,QSO,0.15530415,2.764576,1.7000
TG00000402,T00002,QSO,0.23997191,1.236529,1.7000
TG00000403,T00002,QSO,0.43791483,2.227725,1.7000
TG00000404,T00002,QSO,0.07440715,2.118183,1.7000
TG00000405,T00002,QSO,0.11480117,1.593311,1.7000
TG00000406,T00002,QSO,0.22969955,2.478749,1.7000
TG00000407,T00002,QSO,0.17948124,2.784164,1.7000
TG00000408,T00002,QSO,0.26614997,2.224560,1.7000
TG00000409,T00002,QSO,0.27624364,1.601218,1.7000
TG00000410,T00002,QSO,0.34813951,2.369607,1.7000
TG00000411,T00002,QSO,0.13076218,1.625097,1.7000
TG00000412,T00002,QSO,0.19299850,1.257901,1.7000
TG00000413,T00002,QSO,0.23019942,2.118640,1.7000
TG00000414,T00002,BGS,2.50286970,0.163702,0.4500
TG00000415,T00002,BGS,1.77032593,0.191324,0.4500
TG00000416,T00002,BGS,1.40478748,0.304596,0.4500
TG00000417,T00002,BGS,1.17316997,0.235278,0.4500
TG00000418,T00002,BGS,1.80665474,0.314132,0.4500
TG00000419,T00002,BGS,0.92733883,0.131936,0.4500
TG00000420,T00002,BGS,1.07469124,0.275330,0.4500
TG00000421,T00002,BGS,1.28138444,0.248025,0.4500
TG00000422,T00002,BGS,1.52083371,0.082615,0.4500
TG00000423,T00002,BGS,0.82000437,0.189228,0.4500
TG00000424,T00002,BGS,1.26795224,0.125884,0.4500
TG00000425,T00002,BGS,1.64078160,0.254300,0.4500
TG00000426,T00002,BGS,1.99846060,0.157115,0.4500
TG00000427,T00002,BGS,0.88632709,0.346235,0.4500
TG00000428,T00002,BGS,1.09851569,0.166211,0.4500
TG00000429,T00002,BGS,0.70057475,0.208622,0.4500
TG00000430,T00002,BGS,1.37444170,0.370137,0.4500
TG00000431,T00002,BGS,1.18621185,0.237268,0.4500
TG00000432,T00002,BGS,1.41188153,0.388197,0.4500
TG00000433,T00002,BGS,1.05224768,0.296821,0.4500
TG00000434,T00002,BGS,1.35150848,0.056043,0.4500
TG00000435,T00002,BGS,0.96827289,0.058299,0.4500
TG00000436,T00002,BGS,1.13335764,0.332864,0.4500
TG00000437,T00002,BGS,1.61906198,0.133396,0.4500
TG00000438,T00002,BGS,1.73248796,0.224389,0.4500
TG00000439,T00002,BGS,0.76624877,0.131130,0.4500
TG00000440,T00002,BGS,1.75634836,0.335650,0.4500
TG00000441,T00002,BGS,0.88235222,0.192047,0.4500
TG00000442,T00002,BGS,0.83381204,0.255769,0.4500
TG00000443,T00002,BGS,1.39711194,0.157690,0.4500
TG00000444,T00002,BGS,0.71423051,0.288837,0.4500
TG00000445,T00002,BGS,1.69861742,0.463695,0.4500
TG00000446,T00002,BGS,1.10560883,0.265291,0.4500
TG00000447,T00002,BGS,1.42525140,0.216476,0.4500
TG00000448,T00002,BGS,1.77401487,0.216531,0.4500
TG00000449,T00002,BGS,1.95712331,0.228928,0.4500
TG00000450,T00002,BGS,1.03777960,0.235218,0.4500
TG00000451,T00002,BGS,1.27626507,0.109450,0.4500
TG00000452,T00002,BGS,1.59841197,0.107190,0.4500
TG00000453,T00002,BGS,0.94099492,0.252449,0.4500
TG00000454,T00002,BGS,1.44564550,0.295164,0.4500
TG00000455,T00002,BGS,0.77311510,0.186975,0.4500
TG00000456,T00002,BGS,0.95944157,0.271422,0.4500
TG00000457,T00002,BGS,0.58649832,0.316964,0.4500
TG00000458,T00002,BGS,1.21685668,0.325912,0.4500
TG00000459,T00002,BGS,1.21667406,0.236015,0.4500
TG00000460,T00002,BGS,1.96784391,0.186265,0.4500
TG00000461,T00002,BGS,1.46438584,0.300253,0.4500
TG00000462,T00002,BGS,2.22481489,0.075981,0.4500
TG00000463,T00002,BGS,0.54028360,0.257263,0.4500
TG00000464,T00002,BGS,0.91306285,0.270693,0.4500
