tile_id,ra_deg,dec_deg,nominal_exptime_seconds,region_id,scheduling_class,available_from_utc,available_until_utc,n_lrg,n_elg,n_qso,n_bgs
T00035,208.578942,38.286035,450,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,64,124,18,56
T00036,182.477719,27.017372,1350,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,49,97,18,87
T00037,193.614715,13.964415,1200,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,50,75,19,50
T00038,185.256182,58.066612,900,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,67,107,16,82
T00039,208.847114,31.611446,1200,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,60,70,22,61
T00040,220.686863,30.588277,450,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,41,120,18,93
T00041,230.940205,33.890832,450,R05,REQUIRED,2026-10-06T02:00:00Z,2026-10-11T12:30:00Z,53,102,23,74
T00042,255.821837,11.701344,900,R05,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,60,116,22,96
T00043,263.615090,38.481907,600,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,83,66,24,81
T00044,262.714632,23.616215,600,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,76,119,17,79
T00045,247.308248,50.373058,450,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,48,82,23,84
T00046,240.396810,9.412158,450,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,45,99,17,66
T00047,259.086561,6.758916,1350,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,51,91,13,90
T00048,247.842967,53.197475,1200,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,65,114,17,54
T00049,298.904285,15.871605,900,R06,REQUIRED,2026-10-06T02:00:00Z,2026-10-11T12:30:00Z,68,100,14,88
T00050,281.804924,-2.791264,600,R06,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,56,87,14,65
T00051,292.188625,45.156280,1350,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,62,119,14,92
T00052,274.576602,7.939201,900,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,67,72,11,70
T00053,279.004969,37.526406,900,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,79,116,25,75
T00054,286.324190,40.000677,1200,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,71,124,23,57
T00055,309.806858,4.016642,900,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,59,62,16,80
T00056,299.301024,12.228768,1350,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,55,94,22,74
T00057,340.305777,11.990496,1350,R07,REQUIRED,2026-10-06T02:00:00Z,2026-10-11T12:30:00Z,55,132,26,66
T00058,346.069346,16.627866,1200,R07,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,53,95,17,99
T00059,339.660439,12.369826,450,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,72,113,23,55
T00060,335.485373,-2.941866,1350,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,56,98,10,58
T00061,331.102461,18.805430,1200,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,71,88,10,50
T00062,356.440402,16.760091,600,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,65,126,21,64
T00063,322.866511,14.577400,450,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,55,85,19,80
T00064,348.949774,10.200825,1350,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,77,84,17,63
