event_id,condition,actual_start_utc,actual_end_utc,spatial_scope_type,spatial_scope_payload,severity,force_close,seeing_multiplier,transparency_multiplier,sky_quality_multiplier,instrument_efficiency_multiplier
EV0019,smoggy,2026-10-09T02:15:00Z,2026-10-09T13:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":344.54663,""azimuth_start_deg"":247.13201,""max_altitude_deg"":77.991717,""min_altitude_deg"":0.0}",0.615990,false,1.092398,0.802883,0.827523,1.000000
EV0013,cloudy,2026-10-09T07:30:00Z,2026-10-09T14:45:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":77.402259,""azimuth_start_deg"":32.776317,""max_altitude_deg"":57.160803,""min_altitude_deg"":0.0}",0.607829,false,1.151957,0.726477,0.787260,1.000000
EV0015,cloudy,2026-10-10T05:45:00Z,2026-10-10T10:30:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":205.264787,""azimuth_start_deg"":128.90688,""max_altitude_deg"":70.482626,""min_altitude_deg"":0.0}",0.794659,false,1.198665,0.642403,0.721869,1.000000
EV0016,cloudy,2026-10-10T07:00:00Z,2026-10-10T12:30:00Z,REGION_SET,"{""region_ids"":[""R05"",""R07""]}",0.650037,false,1.162509,0.707483,0.772487,1.000000
EV0027,cold_wave,2026-10-10T07:00:00Z,2026-10-10T22:45:00Z,ALL,{},0.613026,false,1.030651,0.975479,0.987739,0.803832
EV0023,rocket_launch,2026-10-10T09:00:00Z,2026-10-10T10:15:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":263.461392,""azimuth_start_deg"":163.588061,""max_altitude_deg"":78.168576,""min_altitude_deg"":0.0}",0.698868,true,1.000000,1.000000,1.000000,1.000000
EV0004,rainy,2026-10-11T04:15:00Z,2026-10-11T11:00:00Z,ALL,{},0.615658,true,1.492526,0.538257,0.599822,1.000000
EV0028,cold_wave,2026-10-11T05:30:00Z,2026-10-12T07:00:00Z,ALL,{},0.659864,false,1.032993,0.973605,0.986803,0.788843
EV0005,rainy,2026-10-11T06:00:00Z,2026-10-11T09:30:00Z,ALL,{},0.565655,true,1.452524,0.575759,0.632324,1.000000
EV0020,smoggy,2026-10-11T06:00:00Z,2026-10-11T20:15:00Z,REGION_SET,"{""region_ids"":[""R03""]}",0.944217,false,1.141633,0.697851,0.735619,1.000000
EV0012,cloudy,2026-10-11T09:15:00Z,2026-10-11T12:45:00Z,SKY_CAP_ICRS,"{""dec_deg"":27.18084,""ra_deg"":352.26137,""radius_deg"":25.405439}",0.613910,false,1.153478,0.723740,0.785131,1.000000
EV0024,rocket_launch,2026-10-12T02:00:00Z,2026-10-12T03:15:00Z,HORIZON_SECTOR,"{""azimuth_end_deg"":123.457605,""azimuth_start_deg"":91.768831,""max_altitude_deg"":55.92815,""min_altitude_deg"":0.0}",0.775523,true,1.000000,1.000000,1.000000,1.000000
EV0006,rainy,2026-10-12T08:45:00Z,2026-10-12T13:30:00Z,ALL,{},0.631617,true,1.505294,0.526287,0.589449,1.000000
EV0014,cloudy,2026-10-12T10:45:00Z,2026-10-12T14:30:00Z,REGION_SET,"{""region_ids"":[""R01"",""R02"",""R03"",""R04""]}",0.721879,false,1.180470,0.675154,0.747342,1.000000
EV0021,smoggy,2026-10-12T12:15:00Z,2026-10-13T03:15:00Z,REGION_SET,"{""region_ids"":[""R00"",""R04"",""R06""]}",0.959237,false,1.143886,0.693044,0.731414,1.000000
