window_id,night_id,night_date,tile_id,window_start_utc,window_end_utc,window_seconds,best_time_utc,best_airmass,mean_airmass,mean_lunar_quality_factor,minimum_lunar_quality_factor,region_id,scheduling_class,nominal_exptime_seconds,available_until_utc
2026-10-05_T00019_W01,N20261005,2026-10-05,T00019,2026-10-06T11:30:00Z,2026-10-06T12:30:00Z,3600,2026-10-06T12:22:30Z,1.491784,1.649391,0.953,0.947642,R02,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00020_W01,N20261005,2026-10-05,T00020,2026-10-06T09:15:00Z,2026-10-06T12:30:00Z,11700,2026-10-06T12:22:30Z,1.220842,1.504873,0.987449,0.976685,R02,FLEXIBLE,1350,2026-10-12T12:30:00Z
2026-10-05_T00021_W01,N20261005,2026-10-05,T00021,2026-10-06T08:45:00Z,2026-10-06T12:30:00Z,13500,2026-10-06T12:22:30Z,1.027628,1.306299,0.987548,0.973473,R02,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00022_W01,N20261005,2026-10-05,T00022,2026-10-06T09:15:00Z,2026-10-06T12:30:00Z,11700,2026-10-06T12:22:30Z,1.090214,1.350337,0.986052,0.974218,R02,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00023_W01,N20261005,2026-10-05,T00023,2026-10-06T08:30:00Z,2026-10-06T12:30:00Z,14400,2026-10-06T12:22:30Z,1.073946,1.332928,0.991448,0.980544,R02,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00024_W01,N20261005,2026-10-05,T00024,2026-10-06T08:45:00Z,2026-10-06T12:30:00Z,13500,2026-10-06T12:22:30Z,1.122502,1.363967,0.991325,0.981483,R02,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00027_W01,N20261005,2026-10-05,T00027,2026-10-06T11:30:00Z,2026-10-06T12:30:00Z,3600,2026-10-06T12:22:30Z,1.538996,1.71127,0.958112,0.953259,R03,REQUIRED,1350,2026-10-12T12:30:00Z
2026-10-05_T00030_W01,N20261005,2026-10-05,T00030,2026-10-06T10:30:00Z,2026-10-06T12:30:00Z,7200,2026-10-06T12:22:30Z,1.354881,1.598227,0.978654,0.971356,R03,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00031_W01,N20261005,2026-10-05,T00031,2026-10-06T11:45:00Z,2026-10-06T12:30:00Z,2700,2026-10-06T12:22:30Z,1.663313,1.807288,0.930729,0.925645,R03,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00041_W01,N20261005,2026-10-05,T00041,2026-10-06T02:00:00Z,2026-10-06T05:30:00Z,12600,2026-10-06T02:07:30Z,1.221985,1.522158,1.0,1.0,R05,REQUIRED,450,2026-10-11T12:30:00Z
2026-10-05_T00042_W01,N20261005,2026-10-05,T00042,2026-10-06T02:00:00Z,2026-10-06T03:00:00Z,3600,2026-10-06T02:07:30Z,1.477113,1.643937,1.0,1.0,R05,REQUIRED,900,2026-10-12T12:30:00Z
2026-10-05_T00043_W01,N20261005,2026-10-05,T00043,2026-10-06T02:00:00Z,2026-10-06T02:30:00Z,1800,2026-10-06T02:07:30Z,1.805362,1.876624,1.0,1.0,R05,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00045_W01,N20261005,2026-10-05,T00045,2026-10-06T02:00:00Z,2026-10-06T03:15:00Z,4500,2026-10-06T02:07:30Z,1.408204,1.610293,1.0,1.0,R05,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00046_W01,N20261005,2026-10-05,T00046,2026-10-06T02:00:00Z,2026-10-06T04:00:00Z,7200,2026-10-06T02:07:30Z,1.299332,1.548397,1.0,1.0,R05,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00047_W01,N20261005,2026-10-05,T00047,2026-10-06T02:00:00Z,2026-10-06T03:00:00Z,3600,2026-10-06T02:07:30Z,1.529872,1.711129,1.0,1.0,R05,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00048_W01,N20261005,2026-10-05,T00048,2026-10-06T02:00:00Z,2026-10-06T04:15:00Z,8100,2026-10-06T02:07:30Z,1.308155,1.575265,1.0,1.0,R05,FLEXIBLE,1350,2026-10-12T12:30:00Z
2026-10-05_T00049_W01,N20261005,2026-10-05,T00049,2026-10-06T02:00:00Z,2026-10-06T06:00:00Z,14400,2026-10-06T02:07:30Z,1.023803,1.280142,1.0,1.0,R06,REQUIRED,1200,2026-10-11T12:30:00Z
2026-10-05_T00050_W01,N20261005,2026-10-05,T00050,2026-10-06T02:00:00Z,2026-10-06T07:00:00Z,18000,2026-10-06T03:07:30Z,1.138909,1.330875,1.0,1.0,R06,REQUIRED,1200,2026-10-12T12:30:00Z
2026-10-05_T00051_W01,N20261005,2026-10-05,T00051,2026-10-06T02:00:00Z,2026-10-06T06:30:00Z,16200,2026-10-06T02:07:30Z,1.004461,1.281151,1.0,1.0,R06,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00052_W01,N20261005,2026-10-05,T00052,2026-10-06T02:00:00Z,2026-10-06T04:15:00Z,8100,2026-10-06T02:07:30Z,1.329306,1.587011,1.0,1.0,R06,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00053_W01,N20261005,2026-10-05,T00053,2026-10-06T02:00:00Z,2026-10-06T06:30:00Z,16200,2026-10-06T02:37:30Z,1.090064,1.286164,1.0,1.0,R06,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00054_W01,N20261005,2026-10-05,T00054,2026-10-06T02:00:00Z,2026-10-06T06:45:00Z,17100,2026-10-06T02:07:30Z,1.115356,1.377224,1.0,1.0,R06,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00055_W01,N20261005,2026-10-05,T00055,2026-10-06T02:00:00Z,2026-10-06T07:15:00Z,18900,2026-10-06T03:07:30Z,1.073687,1.269015,1.0,1.0,R06,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-05_T00056_W01,N20261005,2026-10-05,T00056,2026-10-06T02:00:00Z,2026-10-06T06:00:00Z,14400,2026-10-06T02:07:30Z,1.119375,1.350502,1.0,1.0,R06,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-05_T00057_W01,N20261005,2026-10-05,T00057,2026-10-06T02:00:00Z,2026-10-06T08:30:00Z,23400,2026-10-06T03:52:30Z,1.012228,1.211888,1.0,1.0,R07,REQUIRED,1350,2026-10-11T12:30:00Z
2026-10-05_T00058_W01,N20261005,2026-10-05,T00058,2026-10-06T02:00:00Z,2026-10-06T10:45:00Z,31500,2026-10-06T05:52:30Z,1.000453,1.214765,0.999901,0.998908,R07,REQUIRED,1200,2026-10-12T12:30:00Z
2026-10-05_T00059_W01,N20261005,2026-10-05,T00059,2026-10-06T02:00:00Z,2026-10-06T08:15:00Z,22500,2026-10-06T04:07:30Z,1.076934,1.249942,1.0,1.0,R07,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-05_T00060_W01,N20261005,2026-10-05,T00060,2026-10-06T02:00:00Z,2026-10-06T10:00:00Z,28800,2026-10-06T04:52:30Z,1.008194,1.204621,0.999975,0.999515,R07,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-05_T00061_W01,N20261005,2026-10-05,T00061,2026-10-06T02:00:00Z,2026-10-06T08:30:00Z,23400,2026-10-06T03:37:30Z,1.002186,1.203029,1.0,1.0,R07,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00062_W01,N20261005,2026-10-05,T00062,2026-10-06T02:00:00Z,2026-10-06T08:45:00Z,24300,2026-10-06T04:07:30Z,1.003876,1.192323,1.0,1.0,R07,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00063_W01,N20261005,2026-10-05,T00063,2026-10-06T02:00:00Z,2026-10-06T09:45:00Z,27900,2026-10-06T05:52:30Z,1.09376,1.322237,0.999994,0.999851,R07,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-05_T00064_W01,N20261005,2026-10-05,T00064,2026-10-06T02:00:00Z,2026-10-06T11:30:00Z,34200,2026-10-06T05:52:30Z,1.085529,1.288813,0.999644,0.997153,R07,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-06_T00001_W01,N20261006,2026-10-06,T00001,2026-10-07T03:15:00Z,2026-10-07T11:30:00Z,29700,2026-10-07T07:22:30Z,1.064451,1.313684,0.999978,0.999696,R00,REQUIRED,600,2026-10-11T12:30:00Z
2026-10-06_T00002_W01,N20261006,2026-10-06,T00002,2026-10-07T02:15:00Z,2026-10-07T11:15:00Z,32400,2026-10-07T06:52:30Z,1.006612,1.250008,0.999987,0.999754,R00,REQUIRED,450,2026-10-12T12:30:00Z
2026-10-06_T00003_W01,N20261006,2026-10-06,T00003,2026-10-07T02:45:00Z,2026-10-07T11:00:00Z,29700,2026-10-07T06:52:30Z,1.067824,1.31938,0.999995,0.999877,R00,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00004_W01,N20261006,2026-10-06,T00004,2026-10-07T04:00:00Z,2026-10-07T12:30:00Z,30600,2026-10-07T08:37:30Z,1.020138,1.253364,0.999859,0.998946,R00,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-06_T00005_W01,N20261006,2026-10-06,T00005,2026-10-07T02:45:00Z,2026-10-07T12:30:00Z,35100,2026-10-07T08:07:30Z,1.050226,1.267384,0.999832,0.998555,R00,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-06_T00006_W01,N20261006,2026-10-06,T00006,2026-10-07T03:30:00Z,2026-10-07T12:30:00Z,32400,2026-10-07T08:52:30Z,1.070581,1.264675,0.99977,0.998178,R00,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00007_W01,N20261006,2026-10-06,T00007,2026-10-07T03:30:00Z,2026-10-07T11:45:00Z,29700,2026-10-07T07:37:30Z,1.065156,1.314476,0.999961,0.999566,R00,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00008_W01,N20261006,2026-10-06,T00008,2026-10-07T03:45:00Z,2026-10-07T10:45:00Z,25200,2026-10-07T07:22:30Z,1.204823,1.427483,0.999998,0.999944,R00,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-06_T00009_W01,N20261006,2026-10-06,T00009,2026-10-07T08:15:00Z,2026-10-07T12:30:00Z,15300,2026-10-07T12:07:30Z,1.132761,1.363223,0.998894,0.995859,R01,REQUIRED,900,2026-10-12T12:30:00Z
2026-10-06_T00010_W01,N20261006,2026-10-06,T00010,2026-10-07T05:30:00Z,2026-10-07T12:30:00Z,25200,2026-10-07T10:22:30Z,1.000029,1.199071,0.999633,0.997742,R01,REQUIRED,1350,2026-10-12T12:30:00Z
2026-10-06_T00011_W01,N20261006,2026-10-06,T00011,2026-10-07T07:00:00Z,2026-10-07T12:30:00Z,19800,2026-10-07T11:22:30Z,1.00955,1.207289,0.999315,0.996684,R01,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00012_W01,N20261006,2026-10-06,T00012,2026-10-07T07:45:00Z,2026-10-07T12:30:00Z,17100,2026-10-07T11:37:30Z,1.123831,1.315415,0.999218,0.996729,R01,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-06_T00013_W01,N20261006,2026-10-06,T00013,2026-10-07T06:45:00Z,2026-10-07T12:30:00Z,20700,2026-10-07T11:07:30Z,1.024315,1.233675,0.999412,0.997026,R01,FLEXIBLE,1350,2026-10-12T12:30:00Z
2026-10-06_T00014_W01,N20261006,2026-10-06,T00014,2026-10-07T06:30:00Z,2026-10-07T12:30:00Z,21600,2026-10-07T10:22:30Z,1.085454,1.249142,0.999618,0.997982,R01,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00015_W01,N20261006,2026-10-06,T00015,2026-10-07T08:45:00Z,2026-10-07T12:30:00Z,13500,2026-10-07T12:07:30Z,1.231684,1.433083,0.998769,0.995933,R01,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00016_W01,N20261006,2026-10-06,T00016,2026-10-07T07:15:00Z,2026-10-07T12:30:00Z,18900,2026-10-07T10:37:30Z,1.2029,1.357017,0.999529,0.99782,R01,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-06_T00017_W01,N20261006,2026-10-06,T00017,2026-10-07T09:30:00Z,2026-10-07T12:30:00Z,10800,2026-10-07T12:22:30Z,1.237754,1.536907,0.997184,0.992548,R02,REQUIRED,600,2026-10-12T12:30:00Z
2026-10-06_T00018_W01,N20261006,2026-10-06,T00018,2026-10-07T09:30:00Z,2026-10-07T12:30:00Z,10800,2026-10-07T12:22:30Z,1.09612,1.40598,0.996464,0.990667,R02,REQUIRED,1350,2026-10-12T12:30:00Z
2026-10-06_T00019_W01,N20261006,2026-10-06,T00019,2026-10-07T11:15:00Z,2026-10-07T12:30:00Z,4500,2026-10-07T12:22:30Z,1.470462,1.685878,0.988642,0.985084,R02,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00020_W01,N20261006,2026-10-06,T00020,2026-10-07T09:15:00Z,2026-10-07T12:30:00Z,11700,2026-10-07T12:22:30Z,1.213968,1.489203,0.997662,0.993297,R02,FLEXIBLE,1350,2026-10-12T12:30:00Z
2026-10-06_T00021_W01,N20261006,2026-10-06,T00021,2026-10-07T08:30:00Z,2026-10-07T12:30:00Z,14400,2026-10-07T12:22:30Z,1.024234,1.333593,0.998085,0.993259,R02,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00022_W01,N20261006,2026-10-06,T00022,2026-10-07T09:00:00Z,2026-10-07T12:30:00Z,12600,2026-10-07T12:22:30Z,1.086377,1.379234,0.997824,0.993295,R02,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00023_W01,N20261006,2026-10-06,T00023,2026-10-07T08:30:00Z,2026-10-07T12:30:00Z,14400,2026-10-07T12:22:30Z,1.073035,1.317682,0.998562,0.994938,R02,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00024_W01,N20261006,2026-10-06,T00024,2026-10-07T08:45:00Z,2026-10-07T12:30:00Z,13500,2026-10-07T12:22:30Z,1.121646,1.349033,0.998514,0.995093,R02,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00025_W01,N20261006,2026-10-06,T00025,2026-10-07T10:30:00Z,2026-10-07T12:30:00Z,7200,2026-10-07T12:22:30Z,1.294292,1.575669,0.993426,0.98841,R03,REQUIRED,600,2026-10-12T12:30:00Z
2026-10-06_T00027_W01,N20261006,2026-10-06,T00027,2026-10-07T11:30:00Z,2026-10-07T12:30:00Z,3600,2026-10-07T12:22:30Z,1.514918,1.679764,0.987979,0.985389,R03,REQUIRED,1350,2026-10-12T12:30:00Z
2026-10-06_T00030_W01,N20261006,2026-10-06,T00030,2026-10-07T10:30:00Z,2026-10-07T12:30:00Z,7200,2026-10-07T12:22:30Z,1.342111,1.577473,0.995093,0.991338,R03,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-06_T00031_W01,N20261006,2026-10-06,T00031,2026-10-07T11:45:00Z,2026-10-07T12:30:00Z,2700,2026-10-07T12:22:30Z,1.632388,1.768893,0.981926,0.979564,R03,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00041_W01,N20261006,2026-10-06,T00041,2026-10-07T02:00:00Z,2026-10-07T05:15:00Z,11700,2026-10-07T02:07:30Z,1.22863,1.500715,1.0,1.0,R05,REQUIRED,450,2026-10-11T12:30:00Z
2026-10-06_T00042_W01,N20261006,2026-10-06,T00042,2026-10-07T02:00:00Z,2026-10-07T03:00:00Z,3600,2026-10-07T02:07:30Z,1.501043,1.676141,1.0,1.0,R05,REQUIRED,900,2026-10-12T12:30:00Z
2026-10-06_T00043_W01,N20261006,2026-10-06,T00043,2026-10-07T02:00:00Z,2026-10-07T02:30:00Z,1800,2026-10-07T02:07:30Z,1.839859,1.915236,1.0,1.0,R05,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00045_W01,N20261006,2026-10-06,T00045,2026-10-07T02:00:00Z,2026-10-07T03:15:00Z,4500,2026-10-07T02:07:30Z,1.428505,1.640692,1.0,1.0,R05,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00046_W01,N20261006,2026-10-06,T00046,2026-10-07T02:00:00Z,2026-10-07T04:00:00Z,7200,2026-10-07T02:07:30Z,1.312453,1.570759,1.0,1.0,R05,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00047_W01,N20261006,2026-10-06,T00047,2026-10-07T02:00:00Z,2026-10-07T03:00:00Z,3600,2026-10-07T02:07:30Z,1.555528,1.746387,1.0,1.0,R05,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00048_W01,N20261006,2026-10-06,T00048,2026-10-07T02:00:00Z,2026-10-07T04:15:00Z,8100,2026-10-07T02:07:30Z,1.320148,1.596498,1.0,1.0,R05,FLEXIBLE,1350,2026-10-12T12:30:00Z
2026-10-06_T00049_W01,N20261006,2026-10-06,T00049,2026-10-07T02:00:00Z,2026-10-07T06:00:00Z,14400,2026-10-07T02:07:30Z,1.025753,1.295257,1.0,1.0,R06,REQUIRED,1200,2026-10-11T12:30:00Z
2026-10-06_T00050_W01,N20261006,2026-10-06,T00050,2026-10-07T02:00:00Z,2026-10-07T06:45:00Z,17100,2026-10-07T03:07:30Z,1.13882,1.307502,1.0,1.0,R06,REQUIRED,1200,2026-10-12T12:30:00Z
2026-10-06_T00051_W01,N20261006,2026-10-06,T00051,2026-10-07T02:00:00Z,2026-10-07T06:30:00Z,16200,2026-10-07T02:07:30Z,1.005868,1.296199,1.0,1.0,R06,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00052_W01,N20261006,2026-10-06,T00052,2026-10-07T02:00:00Z,2026-10-07T04:00:00Z,7200,2026-10-07T02:07:30Z,1.338273,1.556558,1.0,1.0,R06,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00053_W01,N20261006,2026-10-06,T00053,2026-10-07T02:00:00Z,2026-10-07T06:30:00Z,16200,2026-10-07T02:37:30Z,1.090235,1.298466,1.0,1.0,R06,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-06_T00054_W01,N20261006,2026-10-06,T00054,2026-10-07T02:00:00Z,2026-10-07T06:45:00Z,17100,2026-10-07T02:07:30Z,1.117515,1.389021,1.0,1.0,R06,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-06_T00055_W01,N20261006,2026-10-06,T00055,2026-10-07T02:00:00Z,2026-10-07T07:15:00Z,18900,2026-10-07T03:07:30Z,1.073612,1.28036,1.0,1.0,R06,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-06_T00056_W01,N20261006,2026-10-06,T00056,2026-10-07T02:00:00Z,2026-10-07T06:00:00Z,14400,2026-10-07T02:07:30Z,1.119434,1.365468,1.0,1.0,R06,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-06_T00057_W01,N20261006,2026-10-06,T00057,2026-10-07T02:00:00Z,2026-10-07T08:15:00Z,22500,2026-10-07T03:52:30Z,1.012199,1.19039,1.0,1.0,R07,REQUIRED,1350,2026-10-11T12:30:00Z
2026-10-06_T00058_W01,N20261006,2026-10-06,T00058,2026-10-07T02:00:00Z,2026-10-07T10:45:00Z,31500,2026-10-07T05:52:30Z,1.000643,1.219044,0.999998,0.999931,R07,REQUIRED,1200,2026-10-12T12:30:00Z
2026-10-06_T00059_W01,N20261006,2026-10-06,T00059,2026-10-07T02:00:00Z,2026-10-07T08:15:00Z,22500,2026-10-07T04:07:30Z,1.076532,1.257477,1.0,1.0,R07,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-06_T00060_W01,N20261006,2026-10-06,T00060,2026-10-07T02:00:00Z,2026-10-07T10:00:00Z,28800,2026-10-07T04:52:30Z,1.008098,1.21127,1.0,1.0,R07,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-06_T00061_W01,N20261006,2026-10-06,T00061,2026-10-07T02:00:00Z,2026-10-07T08:30:00Z,23400,2026-10-07T03:37:30Z,1.002359,1.212519,1.0,1.0,R07,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00062_W01,N20261006,2026-10-06,T00062,2026-10-07T02:00:00Z,2026-10-07T08:45:00Z,24300,2026-10-07T04:07:30Z,1.003971,1.200756,1.0,1.0,R07,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00063_W01,N20261006,2026-10-06,T00063,2026-10-07T02:00:00Z,2026-10-07T09:45:00Z,27900,2026-10-07T05:37:30Z,1.093741,1.323731,1.0,1.0,R07,FLEXIBLE,450,2026-10-12T12:30:00Z
2026-10-06_T00064_W01,N20261006,2026-10-06,T00064,2026-10-07T02:00:00Z,2026-10-07T11:15:00Z,33300,2026-10-07T05:52:30Z,1.08544,1.273483,0.999977,0.999554,R07,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-07_T00001_W01,N20261007,2026-10-07,T00001,2026-10-08T03:00:00Z,2026-10-08T11:15:00Z,29700,2026-10-08T07:07:30Z,1.064184,1.312917,1.0,1.0,R00,REQUIRED,600,2026-10-11T12:30:00Z
2026-10-07_T00002_W01,N20261007,2026-10-07,T00002,2026-10-08T02:00:00Z,2026-10-08T11:15:00Z,33300,2026-10-08T06:37:30Z,1.006383,1.269719,1.0,1.0,R00,REQUIRED,450,2026-10-12T12:30:00Z
2026-10-07_T00003_W01,N20261007,2026-10-07,T00003,2026-10-08T02:45:00Z,2026-10-08T10:45:00Z,28800,2026-10-08T06:37:30Z,1.068103,1.298677,1.0,1.0,R00,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-07_T00004_W01,N20261007,2026-10-07,T00004,2026-10-08T04:00:00Z,2026-10-08T12:30:00Z,30600,2026-10-08T08:22:30Z,1.020082,1.250903,0.99999,0.999853,R00,FLEXIBLE,1200,2026-10-12T12:30:00Z
2026-10-07_T00005_W01,N20261007,2026-10-07,T00005,2026-10-08T02:45:00Z,2026-10-08T12:30:00Z,35100,2026-10-08T08:07:30Z,1.050348,1.264693,0.999987,0.999785,R00,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-07_T00006_W01,N20261007,2026-10-07,T00006,2026-10-08T03:30:00Z,2026-10-08T12:30:00Z,32400,2026-10-08T08:52:30Z,1.070513,1.260236,0.999983,0.999731,R00,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-07_T00007_W01,N20261007,2026-10-07,T00007,2026-10-08T03:30:00Z,2026-10-08T11:45:00Z,29700,2026-10-08T07:37:30Z,1.065335,1.314992,1.0,0.999987,R00,FLEXIBLE,900,2026-10-12T12:30:00Z
2026-10-07_T00008_W01,N20261007,2026-10-07,T00008,2026-10-08T03:45:00Z,2026-10-08T10:45:00Z,25200,2026-10-08T07:07:30Z,1.205305,1.427074,1.0,1.0,R00,FLEXIBLE,600,2026-10-12T12:30:00Z
2026-10-07_T00009_W01,N20261007,2026-10-07,T00009,2026-10-08T08:15:00Z,2026-10-08T12:30:00Z,15300,2026-10-08T12:07:30Z,1.132892,1.349178,0.999919,0.999403,R01,REQUIRED,900,2026-10-12T12:30:00Z
2026-10-07_T00010_W01,N20261007,2026-10-07,T00010,2026-10-08T05:30:00Z,2026-10-08T12:30:00Z,25200,2026-10-08T10:22:30Z,1.000228,1.190864,0.999974,0.999685,R01,REQUIRED,1350,2026-10-12T12:30:00Z
