tile_id,ra_deg,dec_deg,nominal_exptime_seconds,region_id,scheduling_class,available_from_utc,available_until_utc,n_lrg,n_elg,n_qso,n_bgs
T00036,217.645974,42.952944,1350,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,63,129,25,88
T00037,192.150467,20.474127,900,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,79,80,11,66
T00038,201.882487,13.566177,600,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,61,114,15,55
T00039,202.908557,40.404356,450,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,57,134,12,63
T00040,194.303570,6.078375,900,R04,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,62,127,21,71
T00041,260.378234,58.143271,450,R05,REQUIRED,2026-10-06T02:00:00Z,2026-10-11T12:30:00Z,77,72,16,49
T00042,243.291119,20.294268,900,R05,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,40,93,23,74
T00043,249.748268,-4.568439,450,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,74,104,18,78
T00044,228.445603,19.099561,450,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,42,116,15,66
T00045,249.908180,14.102117,450,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,55,114,17,91
T00046,246.241406,45.812925,900,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,54,87,18,69
T00047,246.530555,11.014336,450,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,83,65,15,94
T00048,246.343784,50.940342,1350,R05,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,44,88,11,70
T00049,287.655172,21.449153,1200,R06,REQUIRED,2026-10-06T02:00:00Z,2026-10-11T12:30:00Z,48,90,18,72
T00050,310.837355,3.347157,1200,R06,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,80,91,21,46
T00051,289.184228,29.910997,450,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,60,112,16,68
T00052,275.203732,-4.724216,900,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,56,108,19,55
T00053,302.477650,8.481546,1200,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,57,114,21,88
T00054,282.943004,56.921174,1200,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,65,131,13,84
T00055,310.827039,10.597902,900,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,58,78,18,62
T00056,295.340965,5.233113,600,R06,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,55,97,21,78
T00057,321.970793,23.045520,1350,R07,REQUIRED,2026-10-06T02:00:00Z,2026-10-11T12:30:00Z,49,150,14,59
T00058,351.029458,33.671201,1200,R07,REQUIRED,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,75,92,20,72
T00059,326.995311,10.217970,600,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,38,102,22,60
T00060,337.372224,39.249479,1200,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,68,102,17,72
T00061,317.251910,35.755056,450,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,59,100,15,93
T00062,325.194565,26.909150,450,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,60,90,10,86
T00063,350.027769,8.074808,450,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,66,93,16,68
T00064,352.446267,54.875839,1200,R07,FLEXIBLE,2026-10-06T02:00:00Z,2026-10-12T12:30:00Z,75,95,20,44
